E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.2. Transacciones de vivienda por Distrito y Barrio según Superficie construida
;;;Total
2020;15. Ciudad Lineal;151. Ventas;348
2020;15. Ciudad Lineal;152. Pueblo Nuevo;496
2020;15. Ciudad Lineal;153. Quintana;182
2020;15. Ciudad Lineal;154. La Concepción;149
2020;15. Ciudad Lineal;155. San Pascual;90
2020;15. Ciudad Lineal;156. San Juan Bautista;57
2020;15. Ciudad Lineal;157. Colina;47
2020;15. Ciudad Lineal;158. Atalaya;14
2020;15. Ciudad Lineal;159. Costillares;119
2020;16. Hortaleza;16. Hortaleza;1.197
2020;16. Hortaleza;161. Palomas;53
2020;16. Hortaleza;162. Piovera;77
2020;16. Hortaleza;163. Canillas;229
2020;16. Hortaleza;164. Pinar del Rey;358
2020;16. Hortaleza;165. Apóstol Santiago;88
2020;16. Hortaleza;166. Valdefuentes;392
2020;17. Villaverde;17. Villaverde;1.026
2020;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";240
2020;17. Villaverde;172. San Cristóbal;133
2020;17. Villaverde;173. Butarque;260
2020;17. Villaverde;174. Los Rosales;181
2020;17. Villaverde;175. Ángeles;212
2020;18. Villa de Vallecas;18. Villa de Vallecas;977
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;271
2020;18. Villa de Vallecas;182. Santa Eugenia;117
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;589
2020;19. Vicálvaro;19. Vicálvaro;950
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;197
2020;19. Vicálvaro;192. Valdebernardo;30
2020;19. Vicálvaro;193. Valderrivas;36
2020;19. Vicálvaro;194. El Cañaveral;685
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;1.159
2020;20. San Blas-Canillejas;201. Simancas;257
2020;20. San Blas-Canillejas;202. Hellín;101
2020;20. San Blas-Canillejas;203. Amposta;85
2020;20. San Blas-Canillejas;204. Arcos;260
2020;20. San Blas-Canillejas;205. Rosas;98
2020;20. San Blas-Canillejas;206. Rejas;124
2020;20. San Blas-Canillejas;207. Canillejas;173
2020;20. San Blas-Canillejas;208. El Salvador;61
2020;21. Barajas;21. Barajas;598
2020;21. Barajas;211. Alameda de Osuna;155
2020;21. Barajas;212. Aeropuerto;12
2020;21. Barajas;213. Casco Histórico de Barajas;41
2020;21. Barajas;214. Timón;328
2020;21. Barajas;215. Corralejos;62
2020;00. No consta;00. No consta;626
2021;Ciudad de Madrid;Ciudad de Madrid;35.436
2021;01. Centro;01. Centro;2.047
2021;01. Centro;011. Palacio;176
2021;01. Centro;012. Embajadores;733
2021;01. Centro;013. Cortes;197
2021;01. Centro;014. Justicia;304
2021;01. Centro;015. Universidad;525
2021;01. Centro;016. Sol;112
2021;02. Arganzuela;02. Arganzuela;1.297
2021;02. Arganzuela;021. Imperial;196
2021;02. Arganzuela;022. Acacias;77
2021;02. Arganzuela;023. Chopera;98
2021;02. Arganzuela;024. Legazpi;134
2021;02. Arganzuela;025. Delicias;290
2021;02. Arganzuela;026. Palos de la Frontera;298
2021;02. Arganzuela;027. Atocha;204
2021;03. Retiro;03. Retiro;1.272
2021;03. Retiro;031. Pacífico;353
2021;03. Retiro;032. Adelfas;219
2021;03. Retiro;033. Estrella;174
2021;03. Retiro;034. Ibiza;321
2021;03. Retiro;035. Los Jerónimos;94
2021;03. Retiro;036. Niño Jesús;111
2021;04. Salamanca;04. Salamanca;1.939
2021;04. Salamanca;041. Recoletos;197
2021;04. Salamanca;042. Goya;434
2021;04. Salamanca;043. Fuente del Berro;287
2021;04. Salamanca;044. Guindalera;560
2021;04. Salamanca;045. Lista;279
2021;04. Salamanca;046. Castellana;182
2021;05. Chamartín;05. Chamartín;1.620
2021;05. Chamartín;051. El Viso;211
2021;05. Chamartín;052. Prosperidad;563
2021;05. Chamartín;053. Ciudad Jardín;212
2021;05. Chamartín;054. Hispanoamérica;289
2021;05. Chamartín;055. Nueva España;193
2021;05. Chamartín;056. Castilla;152
2021;06. Tetuán;06. Tetuán;2.085
2021;06. Tetuán;061. Bellas Vistas;351
2021;06. Tetuán;062. Cuatro Caminos;462
2021;06. Tetuán;063. Castillejos;299
2021;06. Tetuán;064. Almenara;238
2021;06. Tetuán;065. Valdeacederas;388
2021;06. Tetuán;066. Berruguete;347
2021;07. Chamberí;07. Chamberí;1.908
2021;07. Chamberí;071. Gaztambide;294
2021;07. Chamberí;072. Arapiles;325
2021;07. Chamberí;073. Trafalgar;425
2021;07. Chamberí;074. Almagro;280
2021;07. Chamberí;075. Ríos Rosas;381
2021;07. Chamberí;076. Vallehermoso;199
2021;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.431
2021;08. Fuencarral-El Pardo;081. El Pardo;33
2021;08. Fuencarral-El Pardo;082. Fuentelarreina;37
2021;08. Fuencarral-El Pardo;083. Peñagrande;415
2021;08. Fuencarral-El Pardo;084. Pilar;464
2021;08. Fuencarral-El Pardo;085. La Paz;202
2021;08. Fuencarral-El Pardo;086. Valverde;709
2021;08. Fuencarral-El Pardo;087. Mirasierra;405
2021;08. Fuencarral-El Pardo;088. El Goloso;157
2021;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.276
2021;09. Moncloa-Aravaca;091. Casa de Campo;126
2021;09. Moncloa-Aravaca;092. Argüelles;379
2021;09. Moncloa-Aravaca;093. Ciudad Universitaria;143
2021;09. Moncloa-Aravaca;094. Valdezarza;311
2021;09. Moncloa-Aravaca;095. Valdemarín;74
2021;09. Moncloa-Aravaca;096. El Plantío;42
2021;09. Moncloa-Aravaca;097. Aravaca;201
2021;10. Latina;10. Latina;2.187
2021;10. Latina;101. Los Cármenes;135
2021;10. Latina;102. Puerta del Ángel;486
2021;10. Latina;103. Lucero;389
2021;10. Latina;104. Aluche;592
2021;10. Latina;105. Campamento;164
2021;10. Latina;106. Cuatro Vientos;35
2021;10. Latina;107. Águilas;386
2021;11. Carabanchel;11. Carabanchel;1.836
2021;11. Carabanchel;111. Comillas;157
2021;11. Carabanchel;112. Opañel;191
2021;11. Carabanchel;113. San Isidro;377
2021;11. Carabanchel;114. Vista Alegre;422
2021;11. Carabanchel;115. Puerta Bonita;139
2021;11. Carabanchel;116. Buenavista;445
2021;11. Carabanchel;117. Abrantes;105
2021;12. Usera;12. Usera;789
2021;12. Usera;121. Orcasitas;95
2021;12. Usera;122. Orcasur;75
2021;12. Usera;123. San Fermín;165
2021;12. Usera;124. Almendrales;141
2021;12. Usera;125. Moscardó;160
2021;12. Usera;126. Zofío;46
2021;12. Usera;127. Pradolongo;97
2021;13. Puente de Vallecas;13. Puente de Vallecas;2.504
2021;13. Puente de Vallecas;131. Entrevías;382
2021;13. Puente de Vallecas;132. San Diego;615
2021;13. Puente de Vallecas;133. Palomeras Bajas;261
2021;13. Puente de Vallecas;134. Palomeras Sureste;443
2021;13. Puente de Vallecas;135. Portazgo;180
2021;13. Puente de Vallecas;136. Numancia;623
2021;14. Moratalaz;14. Moratalaz;826
2021;14. Moratalaz;141. Pavones;69
2021;14. Moratalaz;142. Horcajo;24
2021;14. Moratalaz;143. Marroquina;204
2021;14. Moratalaz;144. Media Legua;160
2021;14. Moratalaz;145. Fontarrón;187
2021;14. Moratalaz;146. Vinateros;182
2021;15. Ciudad Lineal;15. Ciudad Lineal;2.343
2021;15. Ciudad Lineal;151. Ventas;538
2021;15. Ciudad Lineal;152. Pueblo Nuevo;650
2021;15. Ciudad Lineal;153. Quintana;352
2021;15. Ciudad Lineal;154. La Concepción;306
2021;15. Ciudad Lineal;155. San Pascual;164
2021;15. Ciudad Lineal;156. San Juan Bautista;94
2021;15. Ciudad Lineal;157. Colina;76
2021;15. Ciudad Lineal;158. Atalaya;14
2021;15. Ciudad Lineal;159. Costillares;145
2021;16. Hortaleza;16. Hortaleza;2.287
2021;16. Hortaleza;161. Palomas;76
2021;16. Hortaleza;162. Piovera;103
2021;16. Hortaleza;163. Canillas;297
2021;16. Hortaleza;164. Pinar del Rey;496
2021;16. Hortaleza;165. Apóstol Santiago;110
2021;16. Hortaleza;166. Valdefuentes;1.202
2021;17. Villaverde;17. Villaverde;907
2021;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";286
2021;17. Villaverde;172. San Cristóbal;119
2021;17. Villaverde;173. Butarque;71
2021;17. Villaverde;174. Los Rosales;172
2021;17. Villaverde;175. Ángeles;259
2021;18. Villa de Vallecas;18. Villa de Vallecas;1.040
2021;18. Villa de Vallecas;181. Casco Histórico de Vallecas;383
2021;18. Villa de Vallecas;182. Santa Eugenia;178
2021;18. Villa de Vallecas;183. Ensanche de Vallecas;479
2021;19. Vicálvaro;19. Vicálvaro;2.180
2021;19. Vicálvaro;191. Casco Histórico de Vicálvaro;341
2021;19. Vicálvaro;192. Valdebernardo;57
2021;19. Vicálvaro;193. Valderrivas;98
2021;19. Vicálvaro;194. El Cañaveral;1.682
2021;20. San Blas-Canillejas;20. San Blas-Canillejas;1.815
2021;20. San Blas-Canillejas;201. Simancas;324
2021;20. San Blas-Canillejas;202. Hellín;161
2021;20. San Blas-Canillejas;203. Amposta;123
2021;20. San Blas-Canillejas;204. Arcos;438
2021;20. San Blas-Canillejas;205. Rosas;150
2021;20. San Blas-Canillejas;206. Rejas;255
2021;20. San Blas-Canillejas;207. Canillejas;289
2021;20. San Blas-Canillejas;208. El Salvador;71
2021;21. Barajas;21. Barajas;476
2021;21. Barajas;211. Alameda de Osuna;182
2021;21. Barajas;212. Aeropuerto;10
2021;21. Barajas;213. Casco Histórico de Barajas;75
2021;21. Barajas;214. Timón;120
2021;21. Barajas;215. Corralejos;89
2021;00. No consta;00. No consta;371
2022;Ciudad de Madrid;Ciudad de Madrid;40.723
2022;01. Centro;01. Centro;2.593
2022;01. Centro;011. Palacio;243
2022;01. Centro;012. Embajadores;961
2022;01. Centro;013. Cortes;231
2022;01. Centro;014. Justicia;409
2022;01. Centro;015. Universidad;622
2022;01. Centro;016. Sol;127
2022;02. Arganzuela;02. Arganzuela;1.811
2022;02. Arganzuela;021. Imperial;204
2022;02. Arganzuela;022. Acacias;294
2022;02. Arganzuela;023. Chopera;185
2022;02. Arganzuela;024. Legazpi;156
2022;02. Arganzuela;025. Delicias;582
2022;02. Arganzuela;026. Palos de la Frontera;382
2022;02. Arganzuela;027. Atocha;8
2022;03. Retiro;03. Retiro;1.539
2022;03. Retiro;031. Pacífico;440
2022;03. Retiro;032. Adelfas;241
2022;03. Retiro;033. Estrella;207
2022;03. Retiro;034. Ibiza;360
2022;03. Retiro;035. Los Jerónimos;130
2022;03. Retiro;036. Niño Jesús;160
2022;04. Salamanca;04. Salamanca;2.297
2022;04. Salamanca;041. Recoletos;288
2022;04. Salamanca;042. Goya;535
2022;04. Salamanca;043. Fuente del Berro;330
2022;04. Salamanca;044. Guindalera;614
2022;04. Salamanca;045. Lista;305
2022;04. Salamanca;046. Castellana;225
2022;05. Chamartín;05. Chamartín;2.024
2022;05. Chamartín;051. El Viso;220
2022;05. Chamartín;052. Prosperidad;502
2022;05. Chamartín;053. Ciudad Jardín;282
2022;05. Chamartín;054. Hispanoamérica;339
2022;05. Chamartín;055. Nueva España;480
2022;05. Chamartín;056. Castilla;200
2022;06. Tetuán;06. Tetuán;2.351
2022;06. Tetuán;061. Bellas Vistas;423
2022;06. Tetuán;062. Cuatro Caminos;460
2022;06. Tetuán;063. Castillejos;366
2022;06. Tetuán;064. Almenara;318
2022;06. Tetuán;065. Valdeacederas;404
2022;06. Tetuán;066. Berruguete;380
2022;07. Chamberí;07. Chamberí;2.068
2022;07. Chamberí;071. Gaztambide;362
2022;07. Chamberí;072. Arapiles;334
2022;07. Chamberí;073. Trafalgar;441
2022;07. Chamberí;074. Almagro;297
2022;07. Chamberí;075. Ríos Rosas;400
2022;07. Chamberí;076. Vallehermoso;234
2022;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.537
2022;08. Fuencarral-El Pardo;081. El Pardo;31
2022;08. Fuencarral-El Pardo;082. Fuentelarreina;94
2022;08. Fuencarral-El Pardo;083. Peñagrande;562
2022;08. Fuencarral-El Pardo;084. Pilar;480
2022;08. Fuencarral-El Pardo;085. La Paz;229
2022;08. Fuencarral-El Pardo;086. Valverde;661
2022;08. Fuencarral-El Pardo;087. Mirasierra;312
2022;08. Fuencarral-El Pardo;088. El Goloso;167
2022;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.186
2022;09. Moncloa-Aravaca;091. Casa de Campo;130
2022;09. Moncloa-Aravaca;092. Argüelles;359
2022;09. Moncloa-Aravaca;093. Ciudad Universitaria;159
2022;09. Moncloa-Aravaca;094. Valdezarza;351
2022;09. Moncloa-Aravaca;095. Valdemarín;45
2022;09. Moncloa-Aravaca;096. El Plantío;21
2022;09. Moncloa-Aravaca;097. Aravaca;121
2022;10. Latina;10. Latina;2.649
2022;10. Latina;101. Los Cármenes;163
2022;10. Latina;102. Puerta del Ángel;642
2022;10. Latina;103. Lucero;405
2022;10. Latina;104. Aluche;695
2022;10. Latina;105. Campamento;239
2022;10. Latina;106. Cuatro Vientos;41
2022;10. Latina;107. Águilas;463
2022;11. Carabanchel;11. Carabanchel;2.866
2022;11. Carabanchel;111. Comillas;203
2022;11. Carabanchel;112. Opañel;356
2022;11. Carabanchel;113. San Isidro;564
2022;11. Carabanchel;114. Vista Alegre;549
2022;11. Carabanchel;115. Puerta Bonita;388
2022;11. Carabanchel;116. Buenavista;563
2022;11. Carabanchel;117. Abrantes;243
2022;12. Usera;12. Usera;737
2022;12. Usera;121. Orcasitas;89
2022;12. Usera;122. Orcasur;20
2022;12. Usera;123. San Fermín;209
2022;12. Usera;124. Almendrales;84
2022;12. Usera;125. Moscardó;202
2022;12. Usera;126. Zofío;118
2022;12. Usera;127. Pradolongo;15
2022;13. Puente de Vallecas;13. Puente de Vallecas;3.336
2022;13. Puente de Vallecas;131. Entrevías;448
2022;13. Puente de Vallecas;132. San Diego;850
2022;13. Puente de Vallecas;133. Palomeras Bajas;409
2022;13. Puente de Vallecas;134. Palomeras Sureste;620
2022;13. Puente de Vallecas;135. Portazgo;298
2022;13. Puente de Vallecas;136. Numancia;711
2022;14. Moratalaz;14. Moratalaz;954
2022;14. Moratalaz;141. Pavones;74
2022;14. Moratalaz;142. Horcajo;23
2022;14. Moratalaz;143. Marroquina;212
2022;14. Moratalaz;144. Media Legua;198
2022;14. Moratalaz;145. Fontarrón;257
2022;14. Moratalaz;146. Vinateros;190
2022;15. Ciudad Lineal;15. Ciudad Lineal;2.981
2022;15. Ciudad Lineal;151. Ventas;730
2022;15. Ciudad Lineal;152. Pueblo Nuevo;866
2022;15. Ciudad Lineal;153. Quintana;404
2022;15. Ciudad Lineal;154. La Concepción;303
2022;15. Ciudad Lineal;155. San Pascual;220
2022;15. Ciudad Lineal;156. San Juan Bautista;137
2022;15. Ciudad Lineal;157. Colina;76
2022;15. Ciudad Lineal;158. Atalaya;22
2022;15. Ciudad Lineal;159. Costillares;214
2022;16. Hortaleza;16. Hortaleza;2.580
2022;16. Hortaleza;161. Palomas;83
2022;16. Hortaleza;162. Piovera;105
2022;16. Hortaleza;163. Canillas;323
2022;16. Hortaleza;164. Pinar del Rey;559
2022;16. Hortaleza;165. Apóstol Santiago;146
2022;16. Hortaleza;166. Valdefuentes;1.363
2022;17. Villaverde;17. Villaverde;550
2022;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";30
2022;17. Villaverde;172. San Cristóbal;159
2022;17. Villaverde;173. Butarque;119
2022;17. Villaverde;174. Los Rosales;223
2022;17. Villaverde;175. Ángeles;19
2022;18. Villa de Vallecas;18. Villa de Vallecas;1.331
2022;18. Villa de Vallecas;181. Casco Histórico de Vallecas;516
2022;18. Villa de Vallecas;182. Santa Eugenia;192
2022;18. Villa de Vallecas;183. Ensanche de Vallecas;622
2022;19. Vicálvaro;19. Vicálvaro;1.766
2022;19. Vicálvaro;191. Casco Histórico de Vicálvaro;414
2022;19. Vicálvaro;192. Valdebernardo;68
2022;19. Vicálvaro;193. Valderrivas;96
2022;19. Vicálvaro;194. El Cañaveral;1.188
2022;20. San Blas-Canillejas;20. San Blas-Canillejas;1.861
2022;20. San Blas-Canillejas;201. Simancas;383
2022;20. San Blas-Canillejas;202. Hellín;188
2022;20. San Blas-Canillejas;203. Amposta;170
2022;20. San Blas-Canillejas;204. Arcos;328
2022;20. San Blas-Canillejas;205. Rosas;148
2022;20. San Blas-Canillejas;206. Rejas;238
2022;20. San Blas-Canillejas;207. Canillejas;315
2022;20. San Blas-Canillejas;208. El Salvador;91
2022;21. Barajas;21. Barajas;672
2022;21. Barajas;211. Alameda de Osuna;322
2022;21. Barajas;212. Aeropuerto;18
2022;21. Barajas;213. Casco Histórico de Barajas;120
2022;21. Barajas;214. Timón;118
2022;21. Barajas;215. Corralejos;94
2022;00. No consta;00. No consta;34
2023;Ciudad de Madrid;Ciudad de Madrid;35.035
2023;01. Centro;01. Centro;2.247
2023;01. Centro;011. Palacio;258
2023;01. Centro;012. Embajadores;750
2023;01. Centro;013. Cortes;180
2023;01. Centro;014. Justicia;323
2023;01. Centro;015. Universidad;613
2023;01. Centro;016. Sol;123
2023;02. Arganzuela;02. Arganzuela;1.317
2023;02. Arganzuela;021. Imperial;153
2023;02. Arganzuela;022. Acacias;217
2023;02. Arganzuela;023. Chopera;191
2023;02. Arganzuela;024. Legazpi;173
2023;02. Arganzuela;025. Delicias;246
2023;02. Arganzuela;026. Palos de la Frontera;332
2023;02. Arganzuela;027. Atocha;5
2023;03. Retiro;03. Retiro;1.056
2023;03. Retiro;031. Pacífico;329
2023;03. Retiro;032. Adelfas;117
2023;03. Retiro;033. Estrella;147
2023;03. Retiro;034. Ibiza;257
2023;03. Retiro;035. Los Jerónimos;82
2023;03. Retiro;036. Niño Jesús;124
2023;04. Salamanca;04. Salamanca;1.967
2023;04. Salamanca;041. Recoletos;243
2023;04. Salamanca;042. Goya;478
2023;04. Salamanca;043. Fuente del Berro;255
2023;04. Salamanca;044. Guindalera;555
2023;04. Salamanca;045. Lista;247
2023;04. Salamanca;046. Castellana;189
2023;05. Chamartín;05. Chamartín;1.480
2023;05. Chamartín;051. El Viso;184
2023;05. Chamartín;052. Prosperidad;383
2023;05. Chamartín;053. Ciudad Jardín;267
2023;05. Chamartín;054. Hispanoamérica;311
2023;05. Chamartín;055. Nueva España;186
2023;05. Chamartín;056. Castilla;149
2023;06. Tetuán;06. Tetuán;2.200
2023;06. Tetuán;061. Bellas Vistas;230
2023;06. Tetuán;062. Cuatro Caminos;416
2023;06. Tetuán;063. Castillejos;289
2023;06. Tetuán;064. Almenara;303
2023;06. Tetuán;065. Valdeacederas;693
2023;06. Tetuán;066. Berruguete;269
2023;07. Chamberí;07. Chamberí;1.846
2023;07. Chamberí;071. Gaztambide;260
2023;07. Chamberí;072. Arapiles;312
2023;07. Chamberí;073. Trafalgar;376
2023;07. Chamberí;074. Almagro;310
2023;07. Chamberí;075. Ríos Rosas;380
2023;07. Chamberí;076. Vallehermoso;208
2023;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.033
2023;08. Fuencarral-El Pardo;081. El Pardo;24
2023;08. Fuencarral-El Pardo;082. Fuentelarreina;30
2023;08. Fuencarral-El Pardo;083. Peñagrande;336
2023;08. Fuencarral-El Pardo;084. Pilar;396
2023;08. Fuencarral-El Pardo;085. La Paz;156
2023;08. Fuencarral-El Pardo;086. Valverde;561
2023;08. Fuencarral-El Pardo;087. Mirasierra;353
2023;08. Fuencarral-El Pardo;088. El Goloso;177
2023;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.075
2023;09. Moncloa-Aravaca;091. Casa de Campo;95
2023;09. Moncloa-Aravaca;092. Argüelles;333
2023;09. Moncloa-Aravaca;093. Ciudad Universitaria;109
2023;09. Moncloa-Aravaca;094. Valdezarza;241
2023;09. Moncloa-Aravaca;095. Valdemarín;61
2023;09. Moncloa-Aravaca;096. El Plantío;35
2023;09. Moncloa-Aravaca;097. Aravaca;200
2023;10. Latina;10. Latina;2.145
2023;10. Latina;101. Los Cármenes;142
2023;10. Latina;102. Puerta del Ángel;532
2023;10. Latina;103. Lucero;396
2023;10. Latina;104. Aluche;519
2023;10. Latina;105. Campamento;147
2023;10. Latina;106. Cuatro Vientos;30
2023;10. Latina;107. Águilas;379
2023;11. Carabanchel;11. Carabanchel;2.813
2023;11. Carabanchel;111. Comillas;294
2023;11. Carabanchel;112. Opañel;351
2023;11. Carabanchel;113. San Isidro;427
2023;11. Carabanchel;114. Vista Alegre;505
2023;11. Carabanchel;115. Puerta Bonita;400
2023;11. Carabanchel;116. Buenavista;519
2023;11. Carabanchel;117. Abrantes;317
2023;12. Usera;12. Usera;772
2023;12. Usera;121. Orcasitas;122
2023;12. Usera;122. Orcasur;12
2023;12. Usera;123. San Fermín;187
2023;12. Usera;124. Almendrales;135
2023;12. Usera;125. Moscardó;176
2023;12. Usera;126. Zofío;133
2023;12. Usera;127. Pradolongo;7
2023;13. Puente de Vallecas;13. Puente de Vallecas;2.695
2023;13. Puente de Vallecas;131. Entrevías;403
2023;13. Puente de Vallecas;132. San Diego;699
2023;13. Puente de Vallecas;133. Palomeras Bajas;315
2023;13. Puente de Vallecas;134. Palomeras Sureste;424
2023;13. Puente de Vallecas;135. Portazgo;308
2023;13. Puente de Vallecas;136. Numancia;0
2023;14. Moratalaz;14. Moratalaz;701
2023;14. Moratalaz;141. Pavones;58
2023;14. Moratalaz;142. Horcajo;20
2023;14. Moratalaz;143. Marroquina;183
2023;14. Moratalaz;144. Media Legua;122
2023;14. Moratalaz;145. Fontarrón;158
2023;14. Moratalaz;146. Vinateros;160
2023;15. Ciudad Lineal;15. Ciudad Lineal;2.550
2023;15. Ciudad Lineal;151. Ventas;599
2023;15. Ciudad Lineal;152. Pueblo Nuevo;774
2023;15. Ciudad Lineal;153. Quintana;346
2023;15. Ciudad Lineal;154. La Concepción;254
2023;15. Ciudad Lineal;155. San Pascual;171
2023;15. Ciudad Lineal;156. San Juan Bautista;131
2023;15. Ciudad Lineal;157. Colina;105
2023;15. Ciudad Lineal;158. Atalaya;0
2023;15. Ciudad Lineal;159. Costillares;954
2023;16. Hortaleza;16. Hortaleza;1.817
2023;16. Hortaleza;161. Palomas;50
2023;16. Hortaleza;162. Piovera;186
2023;16. Hortaleza;163. Canillas;321
2023;16. Hortaleza;164. Pinar del Rey;448
2023;16. Hortaleza;165. Apóstol Santiago;138
2023;16. Hortaleza;166. Valdefuentes;674
2023;17. Villaverde;17. Villaverde;837
2023;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";11
2023;17. Villaverde;172. San Cristóbal;316
2023;17. Villaverde;173. Butarque;165
2023;17. Villaverde;174. Los Rosales;336
2023;17. Villaverde;175. Ángeles;9
2023;18. Villa de Vallecas;18. Villa de Vallecas;1.289
2023;18. Villa de Vallecas;181. Casco Histórico de Vallecas;419
2023;18. Villa de Vallecas;182. Santa Eugenia;139
2023;18. Villa de Vallecas;183. Ensanche de Vallecas;730
2023;19. Vicálvaro;19. Vicálvaro;1.647
2023;19. Vicálvaro;191. Casco Histórico de Vicálvaro;440
2023;19. Vicálvaro;192. Valdebernardo;37
2023;19. Vicálvaro;193. Valderrivas;85
2023;19. Vicálvaro;194. El Cañaveral;1.085
2023;20. San Blas-Canillejas;20. San Blas-Canillejas;2.130
2023;20. San Blas-Canillejas;201. Simancas;358
2023;20. San Blas-Canillejas;202. Hellín;175
2023;20. San Blas-Canillejas;203. Amposta;146
2023;20. San Blas-Canillejas;204. Arcos;237
2023;20. San Blas-Canillejas;205. Rosas;124
2023;20. San Blas-Canillejas;206. Rejas;694
2023;20. San Blas-Canillejas;207. Canillejas;320
2023;20. San Blas-Canillejas;208. El Salvador;76
2023;21. Barajas;21. Barajas;412
2023;21. Barajas;211. Alameda de Osuna;141
2023;21. Barajas;212. Aeropuerto;13
2023;21. Barajas;213. Casco Histórico de Barajas;94
2023;21. Barajas;214. Timón;104
2023;21. Barajas;215. Corralejos;60
2023;00. No consta;00. No consta;0
2024;Ciudad de Madrid;Ciudad de Madrid;37.479
2024;01. Centro;01. Centro;2.553
2024;01. Centro;011. Palacio;293
2024;01. Centro;012. Embajadores;884
2024;01. Centro;013. Cortes;199
2024;01. Centro;014. Justicia;426
2024;01. Centro;015. Universidad;637
2024;01. Centro;016. Sol;114
2024;02. Arganzuela;02. Arganzuela;2.397
2024;02. Arganzuela;021. Imperial;677
2024;02. Arganzuela;022. Acacias;264
2024;02. Arganzuela;023. Chopera;235
2024;02. Arganzuela;024. Legazpi;176
2024;02. Arganzuela;025. Delicias;305
2024;02. Arganzuela;026. Palos de la Frontera;364
2024;02. Arganzuela;027. Atocha;376
2024;03. Retiro;03. Retiro;1.229
2024;03. Retiro;031. Pacífico;332
2024;03. Retiro;032. Adelfas;150
2024;03. Retiro;033. Estrella;198
2024;03. Retiro;034. Ibiza;292
2024;03. Retiro;035. Los Jerónimos;132
2024;03. Retiro;036. Niño Jesús;125
2024;04. Salamanca;04. Salamanca;2.530
2024;04. Salamanca;041. Recoletos;281
2024;04. Salamanca;042. Goya;699
2024;04. Salamanca;043. Fuente del Berro;339
2024;04. Salamanca;044. Guindalera;586
2024;04. Salamanca;045. Lista;375
2024;04. Salamanca;046. Castellana;250
2024;05. Chamartín;05. Chamartín;1.581
2024;05. Chamartín;051. El Viso;206
2024;05. Chamartín;052. Prosperidad;428
2024;05. Chamartín;053. Ciudad Jardín;228
2024;05. Chamartín;054. Hispanoamérica;320
2024;05. Chamartín;055. Nueva España;224
2024;05. Chamartín;056. Castilla;175
2024;06. Tetuán;06. Tetuán;2.339
2024;06. Tetuán;061. Bellas Vistas;419
2024;06. Tetuán;062. Cuatro Caminos;464
2024;06. Tetuán;063. Castillejos;322
2024;06. Tetuán;064. Almenara;284
2024;06. Tetuán;065. Valdeacederas;456
2024;06. Tetuán;066. Berruguete;394
2024;07. Chamberí;07. Chamberí;1.898
2024;07. Chamberí;071. Gaztambide;367
2024;07. Chamberí;072. Arapiles;279
2024;07. Chamberí;073. Trafalgar;410
2024;07. Chamberí;074. Almagro;304
2024;07. Chamberí;075. Ríos Rosas;299
2024;07. Chamberí;076. Vallehermoso;239
2024;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.154
2024;08. Fuencarral-El Pardo;081. El Pardo;30
2024;08. Fuencarral-El Pardo;082. Fuentelarreina;45
2024;08. Fuencarral-El Pardo;083. Peñagrande;480
2024;08. Fuencarral-El Pardo;084. Pilar;404
2024;08. Fuencarral-El Pardo;085. La Paz;186
2024;08. Fuencarral-El Pardo;086. Valverde;602
2024;08. Fuencarral-El Pardo;087. Mirasierra;277
2024;08. Fuencarral-El Pardo;088. El Goloso;129
2024;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.327
2024;09. Moncloa-Aravaca;091. Casa de Campo;121
2024;09. Moncloa-Aravaca;092. Argüelles;357
2024;09. Moncloa-Aravaca;093. Ciudad Universitaria;178
2024;09. Moncloa-Aravaca;094. Valdezarza;296
2024;09. Moncloa-Aravaca;095. Valdemarín;101
2024;09. Moncloa-Aravaca;096. El Plantío;30
2024;09. Moncloa-Aravaca;097. Aravaca;244
2024;10. Latina;10. Latina;2.430
2024;10. Latina;101. Los Cármenes;169
2024;10. Latina;102. Puerta del Ángel;597
2024;10. Latina;103. Lucero;383
2024;10. Latina;104. Aluche;653
2024;10. Latina;105. Campamento;202
2024;10. Latina;106. Cuatro Vientos;28
2024;10. Latina;107. Águilas;397
2024;11. Carabanchel;11. Carabanchel;2.846
2024;11. Carabanchel;111. Comillas;227
2024;11. Carabanchel;112. Opañel;364
