E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.2. Transacciones de vivienda por Distrito y Barrio según Superficie construida
;;;Total
2017;08. Fuencarral-El Pardo;088. El Goloso;335
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.728
2017;09. Moncloa-Aravaca;091. Casa de Campo;134
2017;09. Moncloa-Aravaca;092. Argüelles;382
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;159
2017;09. Moncloa-Aravaca;094. Valdezarza;326
2017;09. Moncloa-Aravaca;095. Valdemarín;102
2017;09. Moncloa-Aravaca;096. El Plantío;25
2017;09. Moncloa-Aravaca;097. Aravaca;600
2017;10. Latina;10. Latina;2.419
2017;10. Latina;101. Los Cármenes;153
2017;10. Latina;102. Puerta del Ángel;521
2017;10. Latina;103. Lucero;387
2017;10. Latina;104. Aluche;652
2017;10. Latina;105. Campamento;201
2017;10. Latina;106. Cuatro Vientos;34
2017;10. Latina;107. Águilas;471
2017;11. Carabanchel;11. Carabanchel;2.130
2017;11. Carabanchel;111. Comillas;194
2017;11. Carabanchel;112. Opañel;234
2017;11. Carabanchel;113. San Isidro;426
2017;11. Carabanchel;114. Vista Alegre;451
2017;11. Carabanchel;115. Puerta Bonita;222
2017;11. Carabanchel;116. Buenavista;450
2017;11. Carabanchel;117. Abrantes;153
2017;12. Usera;12. Usera;1.228
2017;12. Usera;121. Orcasitas;121
2017;12. Usera;122. Orcasur;141
2017;12. Usera;123. San Fermín;218
2017;12. Usera;124. Almendrales;208
2017;12. Usera;125. Moscardó;250
2017;12. Usera;126. Zofío;59
2017;12. Usera;127. Pradolongo;229
2017;13. Puente de Vallecas;13. Puente de Vallecas;2.746
2017;13. Puente de Vallecas;131. Entrevías;362
2017;13. Puente de Vallecas;132. San Diego;605
2017;13. Puente de Vallecas;133. Palomeras Bajas;395
2017;13. Puente de Vallecas;134. Palomeras Sureste;443
2017;13. Puente de Vallecas;135. Portazgo;298
2017;13. Puente de Vallecas;136. Numancia;643
2017;14. Moratalaz;14. Moratalaz;799
2017;14. Moratalaz;141. Pavones;74
2017;14. Moratalaz;142. Horcajo;41
2017;14. Moratalaz;143. Marroquina;163
2017;14. Moratalaz;144. Media Legua;139
2017;14. Moratalaz;145. Fontarrón;224
2017;14. Moratalaz;146. Vinateros;158
2017;15. Ciudad Lineal;15. Ciudad Lineal;2.442
2017;15. Ciudad Lineal;151. Ventas;535
2017;15. Ciudad Lineal;152. Pueblo Nuevo;720
2017;15. Ciudad Lineal;153. Quintana;358
2017;15. Ciudad Lineal;154. La Concepción;276
2017;15. Ciudad Lineal;155. San Pascual;177
2017;15. Ciudad Lineal;156. San Juan Bautista;131
2017;15. Ciudad Lineal;157. Colina;77
2017;15. Ciudad Lineal;158. Atalaya;19
2017;15. Ciudad Lineal;159. Costillares;148
2017;16. Hortaleza;16. Hortaleza;2.215
2017;16. Hortaleza;161. Palomas;63
2017;16. Hortaleza;162. Piovera;208
2017;16. Hortaleza;163. Canillas;314
2017;16. Hortaleza;164. Pinar del Rey;552
2017;16. Hortaleza;165. Apóstol Santiago;102
2017;16. Hortaleza;166. Valdefuentes;976
2017;17. Villaverde;17. Villaverde;1.308
2017;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";472
2017;17. Villaverde;172. San Cristóbal;209
2017;17. Villaverde;173. Butarque;118
2017;17. Villaverde;174. Los Rosales;250
2017;17. Villaverde;175. Ángeles;259
2017;18. Villa de Vallecas;18. Villa de Vallecas;1.284
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;524
2017;18. Villa de Vallecas;182. Santa Eugenia;165
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;564
2017;19. Vicálvaro;19. Vicálvaro;535
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;343
2017;19. Vicálvaro;192. Valdebernardo;48
