iteracion,ventana_test,modelo,n_test,rmse,mae,r2
1,B,rf,24,0.21352143679503796,0.13608285299347445,0.6676824834610926
1,B,xgboost,24,0.2139855765904117,0.12621203512969048,0.6662361703685491
2,C,rf,24,0.12187607750860303,0.10275280388499282,0.8721187556194719
2,C,xgboost,24,0.11806088194766211,0.0980754809392128,0.8799998017964044
3,D,rf,24,0.11827574972685284,0.09199592341467466,0.8233889955587292
3,D,xgboost,24,0.10507562389587727,0.0704056674071691,0.860610424357798
