anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,barrio_oficial,seccion_num,codigo_seccion
2017,2,Arganzuela,1,Imperial,021,21,13,02013
2017,2,Arganzuela,1,Imperial,021,21,14,02014
2017,2,Arganzuela,1,Imperial,021,21,89,02089
2017,2,Arganzuela,1,Imperial,021,21,90,02090
2017,2,Arganzuela,1,Imperial,021,21,95,02095
2017,2,Arganzuela,1,Imperial,021,21,107,02107
2017,2,Arganzuela,2,Acacias,022,22,15,02015
2017,2,Arganzuela,2,Acacias,022,22,16,02016
2017,2,Arganzuela,2,Acacias,022,22,17,02017
2017,2,Arganzuela,2,Acacias,022,22,18,02018
2017,2,Arganzuela,2,Acacias,022,22,19,02019
2017,2,Arganzuela,2,Acacias,022,22,20,02020
2017,2,Arganzuela,2,Acacias,022,22,21,02021
2017,2,Arganzuela,2,Acacias,022,22,22,02022
2017,2,Arganzuela,2,Acacias,022,22,23,02023
2017,2,Arganzuela,2,Acacias,022,22,24,02024
2017,2,Arganzuela,2,Acacias,022,22,25,02025
2017,2,Arganzuela,2,Acacias,022,22,26,02026
2017,2,Arganzuela,2,Acacias,022,22,27,02027
2017,2,Arganzuela,2,Acacias,022,22,28,02028
2017,2,Arganzuela,2,Acacias,022,22,29,02029
2017,2,Arganzuela,2,Acacias,022,22,30,02030
2017,2,Arganzuela,2,Acacias,022,22,31,02031
2017,2,Arganzuela,2,Acacias,022,22,85,02085
2017,2,Arganzuela,2,Acacias,022,22,86,02086
2017,2,Arganzuela,2,Acacias,022,22,87,02087
2017,2,Arganzuela,2,Acacias,022,22,88,02088
2017,2,Arganzuela,2,Acacias,022,22,91,02091
2017,2,Arganzuela,2,Acacias,022,22,92,02092
2017,2,Arganzuela,2,Acacias,022,22,94,02094
2017,2,Arganzuela,2,Acacias,022,22,96,02096
2017,2,Arganzuela,2,Acacias,022,22,108,02108
2017,2,Arganzuela,2,Acacias,022,22,109,02109
2017,2,Arganzuela,3,Chopera,023,23,32,02032
2017,2,Arganzuela,3,Chopera,023,23,33,02033
2017,2,Arganzuela,3,Chopera,023,23,34,02034
2017,2,Arganzuela,3,Chopera,023,23,35,02035
2017,2,Arganzuela,3,Chopera,023,23,36,02036
2017,2,Arganzuela,3,Chopera,023,23,37,02037
2017,2,Arganzuela,3,Chopera,023,23,38,02038
2017,2,Arganzuela,3,Chopera,023,23,39,02039
2017,2,Arganzuela,3,Chopera,023,23,40,02040
2017,2,Arganzuela,3,Chopera,023,23,41,02041
2017,2,Arganzuela,3,Chopera,023,23,42,02042
2017,2,Arganzuela,3,Chopera,023,23,43,02043
2017,2,Arganzuela,3,Chopera,023,23,44,02044
2017,2,Arganzuela,3,Chopera,023,23,45,02045
2017,2,Arganzuela,3,Chopera,023,23,46,02046
2017,2,Arganzuela,3,Chopera,023,23,47,02047
2017,2,Arganzuela,4,Legazpi,024,24,48,02048
2017,2,Arganzuela,4,Legazpi,024,24,49,02049
2017,2,Arganzuela,4,Legazpi,024,24,93,02093
2017,2,Arganzuela,4,Legazpi,024,24,99,02099
2017,2,Arganzuela,4,Legazpi,024,24,100,02100
2017,2,Arganzuela,4,Legazpi,024,24,101,02101
2017,2,Arganzuela,4,Legazpi,024,24,102,02102
2017,2,Arganzuela,4,Legazpi,024,24,103,02103
2017,2,Arganzuela,4,Legazpi,024,24,104,02104
2017,2,Arganzuela,4,Legazpi,024,24,110,02110
2017,2,Arganzuela,5,Delicias,025,25,50,02050
2017,2,Arganzuela,5,Delicias,025,25,51,02051
2017,2,Arganzuela,5,Delicias,025,25,52,02052
2017,2,Arganzuela,5,Delicias,025,25,53,02053
2017,2,Arganzuela,5,Delicias,025,25,54,02054
2017,2,Arganzuela,5,Delicias,025,25,55,02055
2017,2,Arganzuela,5,Delicias,025,25,56,02056
2017,2,Arganzuela,5,Delicias,025,25,57,02057
2017,2,Arganzuela,5,Delicias,025,25,58,02058
2017,2,Arganzuela,5,Delicias,025,25,59,02059
2017,2,Arganzuela,5,Delicias,025,25,60,02060
