codigo_barrio,distancia_centro_lineal_m
011,834.2994572397046
012,913.376016526343
013,710.3835858536128
014,971.425212577487
015,952.2308643249818
016,0
021,1701.7018246461282
022,1817.5811822505193
023,2545.0185374216217
024,3482.17297866444
025,2594.8559934914338
026,1750.053102400455
027,2733.9362967855473
031,2621.775189491912
032,3369.15064030411
033,3330.2475408608325
034,2569.613765417082
035,1693.9137972950266
036,2715.894980010479
041,1781.6867724540168
042,2696.9526352770163
043,3556.01787022559
044,3851.5102593147335
045,2933.199186844829
046,2491.069157161766
051,3488.8512532767004
052,4228.474116374214
053,4358.077058807687
054,4821.909255728996
055,5520.4264463591535
056,6669.05586089715
061,3909.922819136609
062,3851.772460093554
063,4865.914069949503
064,5985.2780994140985
065,5518.012286247069
066,4696.85824942747
071,2139.2730230300263
072,1920.4473175867636
073,1749.3434431678588
074,1961.8300805139627
075,2846.104731252189
076,2895.964890292149
081,15968.21625279806
082,7753.532151322011
083,7057.610136240745
084,6654.963632496533
085,7117.797361602795
086,9459.745258409363
087,8861.590583954581
088,13001.868588607133
091,4175.261910118163
092,1653.6887353498469
093,5161.047184946201
094,5430.495955456932
095,8461.673664629616
096,11449.993415220159
097,7562.616945925691
101,3189.5543424606385
102,2462.0226460433837
103,4227.863050272216
104,5246.163888215935
105,9139.676702256816
106,8640.636552097418
107,6885.975432305136
111,2716.7135499174724
112,3342.757435364623
113,3059.1538690603015
114,5063.086235289934
115,5104.2617550596715
116,6594.790428816744
117,4633.638102235786
121,5444.820188175229
122,5034.763819317986
123,5347.446241818895
124,3761.5797941806195
125,3148.644321011925
126,4309.522685819439
127,4353.234132332521
131,5421.836791689045
132,4343.126375495597
133,5299.099791150904
134,6728.434858372401
135,5623.053203411135
136,4377.42171354457
141,6486.612325558944
142,6656.046764047865
143,5474.213634361389
144,4094.469256651213
145,5210.585295437881
146,5433.709966005467
151,4882.186937854728
152,5945.604729660152
153,5499.885718762236
154,5286.907969684153
155,5179.583468702204
156,5517.381587909842
157,5876.295810115297
158,6201.670809345243
159,7261.663147300596
161,8460.640641599208
162,7272.732527821397
163,7296.312702706779
164,7830.265510100912
165,7594.745548311573
166,10324.757209255053
171,8429.448863189962
172,8593.623053971169
173,9221.80532301663
174,6973.898778992002
175,6844.387345794747
181,10793.336232471034
182,8760.143640097162
183,10345.169316090998
191,11026.74212701397
192,7725.953946767241
193,8888.9873518703
194,13555.911978555254
201,7030.43215690717
202,7594.896542639569
203,7068.520248624459
204,7390.381878594783
205,9424.89630780657
206,11809.26215038609
207,8480.247476456547
208,6971.534705484926
211,10497.654972389699
212,13760.405644145285
213,12378.237636967644
214,10789.995239848651
215,9764.47039972811
