anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,densidad,poblacion_total_panel,tamano_hogar,monop_mujer,monop_hombre,n_hogares,envejecimiento,sobreenvejecimiento,migrantes,pct_extranjeros_ue_ocde,nac_espanola_pct,nac_espanola,nac_extranjera_pct,nac_extranjera,nivel_estudios_superiores_pct,nivel_estudios_superiores
2017,1,Centro,1,Palacio,011,152.07,22353,1.9997316156736473,189,33,11178,0.18784950565919561,0.3534174803524649,0.07569453764595356,0.0895629222028363,0.8346530667024561,18657,0.16525745984878987,3694,0.39896890946393815,7584
2017,1,Centro,2,Embajadores,012,431.74,44630,2.0469660138513244,341,63,21803,0.14535066099036523,0.3809156775088639,0.16018373291507956,0.08554783777727984,0.7542460228545821,33662,0.2457315706923594,10967,0.32875368007850836,12395
2017,1,Centro,3,Cortes,013,177.76,10521,1.9461709211986704,75,21,5406,0.16852010265183917,0.3547659334461365,0.08744415930044673,0.12147134302822925,0.791084497671324,8323,0.20891550232867598,2198,0.4383124036131306,3979
2017,1,Centro,4,Justicia,014,221.45,16374,1.964487102579484,131,34,8335,0.1656284353242946,0.36172566371681414,0.09044827165017712,0.10327348235006718,0.8062782459997557,13202,0.1937217540002443,3172,0.4670278078728783,6466
2017,1,Centro,5,Universidad,015,323.93,30709,1.9551155535748381,232,51,15707,0.16741020547722166,0.37191207936199183,0.10934905076687616,0.09329512520759385,0.79735582402553,24486,0.20264417597447001,6223,0.39982428664196495,10467
2017,1,Centro,6,Sol,016,164.85,7341,1.9472148541114063,42,10,3770,0.16836943195749896,0.3252427184466019,0.11292739408799891,0.1373109930527176,0.7497616128592834,5504,0.2502383871407165,1837,0.39124920735573876,2468
2017,2,Arganzuela,1,Imperial,021,234.02,22646,2.3680853288716865,169,29,9563,0.20617327563366597,0.36388948382951386,0.03660690629691778,0.029497482999205155,0.933895610703877,21149,0.06610438929612293,1497,0.3522075055187638,6382
2017,2,Arganzuela,2,Acacias,022,341.57,36665,2.3951528612490405,243,40,15308,0.21344606573026045,0.31753130590339895,0.038265375698895404,0.025964816582571937,0.9357698077185327,34310,0.06423019228146734,2355,0.36307869585846947,10713
2017,2,Arganzuela,3,Chopera,023,348.09,19764,2.3453186187255137,133,22,8427,0.23401133373810967,0.3982702702702703,0.10043513458814005,0.029548674357417537,0.8700161910544424,17195,0.12998380894555758,2569,0.23695638876995534,3874
2017,2,Arganzuela,4,Legazpi,024,133.89,18938,2.562305506697339,212,47,7391,0.07793853627626994,0.27235772357723576,0.039602914774527403,0.028989333614954066,0.9314077516105186,17639,0.06859224838948147,1299,0.4492859758330282,6135
