anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,presupuesto_gasto_proteccion_civil_seguridad,presupuesto_gasto_cultura,presupuesto_gasto_deportes_juventud_esparcimiento,presupuesto_gasto_otros_bienes_sociales,presupuesto_gasto_urbanismo,presupuesto_gasto_infraestructuras,presupuesto_gasto_mantenimiento_urbano,presupuesto_gasto_medio_ambiente,presupuesto_gasto_proteccion_promocion_social,presupuesto_gasto_educacion,presupuesto_gasto_caracter_general,presupuesto_gasto_salud_publica,presupuesto_gasto_trafico_transporte,presupuesto_gasto_sectores_productivos,presupuesto_gasto_otros_bienes_economicos,gasto_real_proteccion_civil_seguridad,gasto_real_cultura,gasto_real_deportes_juventud_esparcimiento,gasto_real_otros_bienes_sociales,gasto_real_urbanismo,gasto_real_infraestructuras,gasto_real_mantenimiento_urbano,gasto_real_medio_ambiente,gasto_real_proteccion_promocion_social,gasto_real_educacion,gasto_real_caracter_general,gasto_real_salud_publica,gasto_real_trafico_transporte,gasto_real_sectores_productivos,gasto_real_otros_bienes_economicos,presupuesto_gasto_distrito,gasto_real_distrito,share_presupuesto_caracter_general,share_presupuesto_proteccion_civil_seguridad,share_presupuesto_trafico_transporte,share_presupuesto_proteccion_promocion_social,share_presupuesto_salud_publica,share_presupuesto_educacion,share_presupuesto_urbanismo,share_presupuesto_infraestructuras,share_presupuesto_mantenimiento_urbano,share_presupuesto_medio_ambiente,share_presupuesto_cultura,share_presupuesto_deportes_juventud_esparcimiento,share_presupuesto_otros_bienes_sociales,share_presupuesto_otros_bienes_economicos,share_presupuesto_sectores_productivos,share_gasto_real_caracter_general,share_gasto_real_proteccion_civil_seguridad,share_gasto_real_trafico_transporte,share_gasto_real_proteccion_promocion_social,share_gasto_real_salud_publica,share_gasto_real_educacion,share_gasto_real_urbanismo,share_gasto_real_infraestructuras,share_gasto_real_mantenimiento_urbano,share_gasto_real_medio_ambiente,share_gasto_real_cultura,share_gasto_real_deportes_juventud_esparcimiento,share_gasto_real_otros_bienes_sociales,share_gasto_real_otros_bienes_economicos,share_gasto_real_sectores_productivos
2017,1,Centro,1,Palacio,011,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,29324768.17,11890433.47,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706
2017,1,Centro,2,Embajadores,012,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,29324768.17,11890433.47,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706
2017,1,Centro,3,Cortes,013,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,29324768.17,11890433.47,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706
2017,1,Centro,4,Justicia,014,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,29324768.17,11890433.47,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706
2017,1,Centro,5,Universidad,015,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,29324768.17,11890433.47,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706
2017,1,Centro,6,Sol,016,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,29324768.17,11890433.47,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706
2017,2,Arganzuela,1,Imperial,021,2000968,1329058.61,1569153.37,7481.37,770277.08,25000,591979.34,524653.35,169992.31,1523704.94,10571171.71,49605.44,2707,0,0,968,932833.71,996161.34,1247.27,364446.6,NA,279287.6,51944.6,70539.96,853905.49,1304954.39,49605.44,2706.46,0,0,19135752.52,4908600.86,0.5524304152110764,0.10456698778418358,1.4146294989814177e-4,0.008883492291318575,0.002592291050386139,0.07962607890165169,0.04025329441290245,0.0013064550230711283,0.030935775291893248,0.027417440179143788,0.06945421187961727,0.08200113208821955,3.9096293663814586e-4,0,0,0.26585058089241337,1.972048711249258e-4,5.513709664305441e-4,0.014370685662146098,0.01010582066352814,0.17396107655817833,0.0742465338687163,NA,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.2029420130933196,2.540988838925477e-4,0,0
2017,2,Arganzuela,2,Acacias,022,2000968,1329058.61,1569153.37,7481.37,770277.08,25000,591979.34,524653.35,169992.31,1523704.94,10571171.71,49605.44,2707,0,0,968,932833.71,996161.34,1247.27,364446.6,NA,279287.6,51944.6,70539.96,853905.49,1304954.39,49605.44,2706.46,0,0,19135752.52,4908600.86,0.5524304152110764,0.10456698778418358,1.4146294989814177e-4,0.008883492291318575,0.002592291050386139,0.07962607890165169,0.04025329441290245,0.0013064550230711283,0.030935775291893248,0.027417440179143788,0.06945421187961727,0.08200113208821955,3.9096293663814586e-4,0,0,0.26585058089241337,1.972048711249258e-4,5.513709664305441e-4,0.014370685662146098,0.01010582066352814,0.17396107655817833,0.0742465338687163,NA,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.2029420130933196,2.540988838925477e-4,0,0
2017,2,Arganzuela,3,Chopera,023,2000968,1329058.61,1569153.37,7481.37,770277.08,25000,591979.34,524653.35,169992.31,1523704.94,10571171.71,49605.44,2707,0,0,968,932833.71,996161.34,1247.27,364446.6,NA,279287.6,51944.6,70539.96,853905.49,1304954.39,49605.44,2706.46,0,0,19135752.52,4908600.86,0.5524304152110764,0.10456698778418358,1.4146294989814177e-4,0.008883492291318575,0.002592291050386139,0.07962607890165169,0.04025329441290245,0.0013064550230711283,0.030935775291893248,0.027417440179143788,0.06945421187961727,0.08200113208821955,3.9096293663814586e-4,0,0,0.26585058089241337,1.972048711249258e-4,5.513709664305441e-4,0.014370685662146098,0.01010582066352814,0.17396107655817833,0.0742465338687163,NA,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.2029420130933196,2.540988838925477e-4,0,0
2017,2,Arganzuela,4,Legazpi,024,2000968,1329058.61,1569153.37,7481.37,770277.08,25000,591979.34,524653.35,169992.31,1523704.94,10571171.71,49605.44,2707,0,0,968,932833.71,996161.34,1247.27,364446.6,NA,279287.6,51944.6,70539.96,853905.49,1304954.39,49605.44,2706.46,0,0,19135752.52,4908600.86,0.5524304152110764,0.10456698778418358,1.4146294989814177e-4,0.008883492291318575,0.002592291050386139,0.07962607890165169,0.04025329441290245,0.0013064550230711283,0.030935775291893248,0.027417440179143788,0.06945421187961727,0.08200113208821955,3.9096293663814586e-4,0,0,0.26585058089241337,1.972048711249258e-4,5.513709664305441e-4,0.014370685662146098,0.01010582066352814,0.17396107655817833,0.0742465338687163,NA,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.2029420130933196,2.540988838925477e-4,0,0
