anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,barrio_oficial,total_hogares,hog_mujer_sola_16_64,hog_hombre_solo_16_64,hog_dos_adultos_sin_menores,hog_dos_adultos_1_menor,hog_dos_adultos_2_menores,hog_dos_adultos_3mas_menores,hog_mujer_adulta_con_menores,hog_hombre_adulto_con_menores,n_viviendas_colectiva_barrio,n_viviendas_unifamiliar_barrio,renta_colectiva_barrio,renta_unifamiliar_barrio,precio_vivienda_declarado_barrio,renta_neta_media_persona,renta_neta_media_hogar,renta_bruta_media_persona,renta_bruta_media_hogar,poblacion_total_barrio,pob_25_39_barrio,pct_pob_25_39,transacciones_vivienda_barrio,tasa_transacciones_vivienda,densidad,poblacion_total_panel,tamano_hogar,monop_mujer,monop_hombre,n_hogares,envejecimiento,sobreenvejecimiento,migrantes,pct_extranjeros_ue_ocde,nac_espanola_pct,nac_espanola,nac_extranjera_pct,nac_extranjera,nivel_estudios_superiores_pct,nivel_estudios_superiores,n_comercio_menor,n_turismo_alojamiento,n_bares_restaurantes,n_inmobiliarias,n_educacion,n_sanitarias,n_servicios_sociales,n_arte_recreo_ocio,pct_comercio_menor,pct_turismo_alojamiento,pct_bares_restaurantes,pct_inmobiliarias,pct_educacion,pct_sanitarias,pct_servicios_sociales,pct_arte_recreo_ocio,n_locales_activos_total,n_locales_todos_estados,n_uso_vivienda,pct_uso_vivienda,n_altas_internas,n_altas_internas_esp,n_altas_internas_ext,n_bajas_internas,n_bajas_internas_esp,n_bajas_internas_ext,n_altas_externas,n_altas_externas_esp,n_altas_externas_ext,n_bajas_externas,n_bajas_externas_esp,n_bajas_externas_ext,n_entradas_totales,n_salidas_totales,tasa_altas_internas,tasa_bajas_internas,tasa_altas_externas,tasa_bajas_externas,tasa_entradas_totales,tasa_salidas_totales,presupuesto_gasto_distrito,gasto_real_distrito,poblacion_total_distrito,intensidad_inversion_presupuesto_distrito,intensidad_inversion_real_distrito,presupuesto_gasto_proteccion_civil_seguridad,presupuesto_gasto_cultura,presupuesto_gasto_deportes_juventud_esparcimiento,presupuesto_gasto_otros_bienes_sociales,presupuesto_gasto_urbanismo,presupuesto_gasto_infraestructuras,presupuesto_gasto_mantenimiento_urbano,presupuesto_gasto_medio_ambiente,presupuesto_gasto_proteccion_promocion_social,presupuesto_gasto_educacion,presupuesto_gasto_caracter_general,presupuesto_gasto_salud_publica,presupuesto_gasto_trafico_transporte,presupuesto_gasto_sectores_productivos,presupuesto_gasto_otros_bienes_economicos,gasto_real_proteccion_civil_seguridad,gasto_real_cultura,gasto_real_deportes_juventud_esparcimiento,gasto_real_otros_bienes_sociales,gasto_real_urbanismo,gasto_real_infraestructuras,gasto_real_mantenimiento_urbano,gasto_real_medio_ambiente,gasto_real_proteccion_promocion_social,gasto_real_educacion,gasto_real_caracter_general,gasto_real_salud_publica,gasto_real_trafico_transporte,gasto_real_sectores_productivos,gasto_real_otros_bienes_economicos,share_presupuesto_caracter_general,share_presupuesto_proteccion_civil_seguridad,share_presupuesto_trafico_transporte,share_presupuesto_proteccion_promocion_social,share_presupuesto_salud_publica,share_presupuesto_educacion,share_presupuesto_urbanismo,share_presupuesto_infraestructuras,share_presupuesto_mantenimiento_urbano,share_presupuesto_medio_ambiente,share_presupuesto_cultura,share_presupuesto_deportes_juventud_esparcimiento,share_presupuesto_otros_bienes_sociales,share_presupuesto_otros_bienes_economicos,share_presupuesto_sectores_productivos,share_gasto_real_caracter_general,share_gasto_real_proteccion_civil_seguridad,share_gasto_real_trafico_transporte,share_gasto_real_proteccion_promocion_social,share_gasto_real_salud_publica,share_gasto_real_educacion,share_gasto_real_urbanismo,share_gasto_real_infraestructuras,share_gasto_real_mantenimiento_urbano,share_gasto_real_medio_ambiente,share_gasto_real_cultura,share_gasto_real_deportes_juventud_esparcimiento,share_gasto_real_otros_bienes_sociales,share_gasto_real_otros_bienes_economicos,share_gasto_real_sectores_productivos,poblacion_total_distrito_nac,poblacion_idh_alto_distrito,pct_poblacion_idh_alto_distrito,zonas_verdes_significativas_ha_distrito,zonas_verdes_significativas_m2_per_capita_distrito,paradas_red_centro,n_estaciones_metro,distancia_centro_lineal_m,tasa_paro
2017,1,Centro,1,Palacio,011,11,11178,1843,2020,1957,416,232,47,189,33,2828,2,12.942529756394194,NA,4178.57,18254,36359,23380,36359,22449,6118,0.2725288431555971,235,0.010468172301661544,152.07,22353,1.9997316156736473,189,33,11178,0.18784950565919561,0.3534174803524649,0.07569453764595356,0.0895629222028363,0.8346530667024561,18657,0.16525745984878987,3694,0.39896890946393815,7584,535,27,571,12,42,13,9,41,0.31433607520564044,0.015863689776733254,0.3354876615746181,0.007050528789659225,0.024676850763807285,0.00763807285546416,0.005287896592244419,0.02408930669800235,1702,2127,62,0.02914903620122238,1370,977,393,1705,1181,523,1814,967,847,811,632,179,3184,2516,0.06102721724798432,0.07594993095460822,0.08080538108601719,0.03612633079424473,0.14183259833400153,0.11207626174885296,29324768.17,11890433.47,132418,221.45605710703984,89.79469158271534,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706,131928,21413,0.16230822873082287,11.8,0.8911175217870683,1,4,834.2994999607662,8.2
2017,1,Centro,2,Embajadores,012,12,21803,3805,4252,4054,758,455,96,341,63,5044,4,12.506834733938586,NA,3538.13,13454,27632,16436,27632,44793,14725,0.32873440046435826,981,0.02190074341973076,431.74,44630,2.0469660138513244,341,63,21803,0.14535066099036523,0.3809156775088639,0.16018373291507956,0.08554783777727984,0.7542460228545821,33662,0.2457315706923594,10967,0.32875368007850836,12395,1444,20,462,9,62,22,21,44,0.4883327696990193,0.006763611768684477,0.15623943185661143,0.003043625295908015,0.02096719648292188,0.0074399729455529254,0.007101792357118702,0.014879945891105851,2957,3893,124,0.03185204212689442,3429,1861,1568,4332,2379,1953,4126,1806,2320,1807,1227,580,7555,6139,0.07655213984327909,0.09671153974951444,0.09211260688053936,0.04034112472931038,0.16866474672381845,0.1370526644788248,29324768.17,11890433.47,132418,221.45605710703984,89.79469158271534,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706,131928,21413,0.16230822873082287,11.8,0.8911175217870683,1,7,913.3760035725893,9.05
2017,1,Centro,3,Cortes,013,13,5406,982,1130,990,155,91,24,75,21,1447,1,13.125567817798903,NA,4201.77,19431,37740,25553,37740,10557,3178,0.3010324902908023,288,0.027280477408354646,177.76,10521,1.9461709211986704,75,21,5406,0.16852010265183917,0.3547659334461365,0.08744415930044673,0.12147134302822925,0.791084497671324,8323,0.20891550232867598,2198,0.4383124036131306,3979,338,43,415,6,27,10,5,39,0.29314830875975717,0.0372940156114484,0.3599306157849089,0.005203816131830009,0.023417172593235037,0.008673026886383347,0.004336513443191674,0.033824804856895055,1153,1339,10,0.0074682598954443615,665,416,249,857,586,271,957,466,491,418,321,97,1622,1275,0.06299138012693,0.08117836506583309,0.09065075305484513,0.039594581794070285,0.15364213318177514,0.12077294685990338,29324768.17,11890433.47,132418,221.45605710703984,89.79469158271534,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706,131928,21413,0.16230822873082287,11.8,0.8911175217870683,1,1,710.3835020983723,7.59
2017,1,Centro,4,Justicia,014,14,8335,1475,1778,1491,251,158,46,131,34,2261,0,13.834643069426468,NA,5245.82,21570,43127,28805,43127,16443,4957,0.3014656692817612,405,0.024630541871921183,221.45,16374,1.964487102579484,131,34,8335,0.1656284353242946,0.36172566371681414,0.09044827165017712,0.10327348235006718,0.8062782459997557,13202,0.1937217540002443,3172,0.4670278078728783,6466,844,19,490,4,31,23,5,31,0.45085470085470086,0.01014957264957265,0.26175213675213677,0.002136752136752137,0.01655982905982906,0.012286324786324786,0.002670940170940171,0.01655982905982906,1872,2027,6,0.0029600394671928957,1006,650,356,1366,922,444,1610,795,815,596,451,145,2616,1962,0.061181049686796815,0.08307486468406008,0.09791400595998297,0.03624642705102475,0.15909505564677978,0.11932129173508484,29324768.17,11890433.47,132418,221.45605710703984,89.79469158271534,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706,131928,21413,0.16230822873082287,11.8,0.8911175217870683,2,3,971.4253672516414,6.62
2017,1,Centro,5,Universidad,015,15,15707,2879,3092,2840,527,326,56,232,51,4743,2,13.881622117212533,NA,4191.85,16869,33230,21264,33230,30810,9800,0.3180785459266472,674,0.021876014281077574,323.93,30709,1.9551155535748381,232,51,15707,0.16741020547722166,0.37191207936199183,0.10934905076687616,0.09329512520759385,0.79735582402553,24486,0.20264417597447001,6223,0.39982428664196495,10467,865,27,610,12,70,39,16,56,0.37236332328885063,0.01162290142057684,0.26259147653895826,0.005165733964700818,0.030133448127421438,0.016788635385277657,0.006887645286267757,0.02410675850193715,2323,2902,107,0.0368711233631978,1988,1216,772,2689,1697,992,2886,1480,1406,1161,866,295,4874,3850,0.06452450503083415,0.08727685816293411,0.09367088607594937,0.037682570593963,0.15819539110678352,0.12495942875689711,29324768.17,11890433.47,132418,221.45605710703984,89.79469158271534,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706,131928,21413,0.16230822873082287,11.8,0.8911175217870683,2,6,952.2311029999739,7.21
2017,1,Centro,6,Sol,016,16,3770,675,812,685,120,56,10,42,10,906,0,12.966084864507158,NA,4184.44,16600,32604,21067,32604,7366,2258,0.30654357860439857,127,0.017241379310344827,164.85,7341,1.9472148541114063,42,10,3770,0.16836943195749896,0.3252427184466019,0.11292739408799891,0.1373109930527176,0.7497616128592834,5504,0.2502383871407165,1837,0.39124920735573876,2468,721,39,458,1,7,1,7,29,0.460997442455243,0.024936061381074168,0.2928388746803069,6.393861892583121e-4,0.004475703324808184,6.393861892583121e-4,0.004475703324808184,0.01854219948849105,1564,1700,1,5.88235294117647e-4,388,223,165,667,387,280,774,347,427,314,218,96,1162,981,0.05267445017648656,0.09055118110236221,0.10507738256855824,0.04262829215313603,0.1577518327450448,0.13317947325549823,29324768.17,11890433.47,132418,221.45605710703984,89.79469158271534,503701.06,3185759.78,857681.88,188416.64,6860839.74,0,811193.79,4189731.57,1418468.44,1982487.38,7150188.4,1238883.2,682000,255416.29,0,425357.87,1521329.98,274003.18,84677.43,1041148.98,0,132384.7,1101287.51,453784.39,1302132.77,4185267.25,1172894.95,151931.23,44233.23,0,0.2438276189789227,0.017176642525525546,0.02325679084814398,0.04837100268881682,0.0422469904218172,0.06760453717851164,0.2339605789967955,0,0.027662411013699754,0.14287347629524327,0.10863716846904573,0.029247695157482295,0.0064251706580499114,0,0.008709916767945585,0.3519860954236515,0.03577311719317832,0.012777602295435913,0.03816382229839767,0.09864190005850139,0.10951095881284133,0.08756190282102473,0,0.011133715211813888,0.09261962675949441,0.12794571231052015,0.023044002617004674,0.007121475446092378,0,0.0037200687520435706,131928,21413,0.16230822873082287,11.8,0.8911175217870683,0,7,0,7.93
2017,2,Arganzuela,1,Imperial,021,21,9563,1108,900,1379,503,498,80,169,29,1766,0,11.88470604972909,NA,2879.02,18632,44089,23473,44089,22708,4650,0.20477364805354942,195,0.008587282015148846,234.02,22646,2.3680853288716865,169,29,9563,0.20617327563366597,0.36388948382951386,0.03660690629691778,0.029497482999205155,0.933895610703877,21149,0.06610438929612293,1497,0.3522075055187638,6382,234,4,105,22,31,33,3,20,0.3218707015130674,0.005502063273727648,0.14442916093535077,0.030261348005502064,0.04264099037138927,0.0453920220082531,0.0041265474552957355,0.027510316368638238,727,894,17,0.01901565995525727,941,779,162,1018,823,195,950,651,299,515,427,88,1891,1533,0.041439140391051614,0.04483001585344372,0.041835476484058484,0.02267923198872644,0.08327461687511009,0.06750924784217016,19135752.52,4908600.86,152331,125.61955557306129,32.22325632996567,2000968,1329058.61,1569153.37,7481.37,770277.08,25000,591979.34,524653.35,169992.31,1523704.94,10571171.71,49605.44,2707,0,0,968,932833.71,996161.34,1247.27,364446.6,NA,279287.6,51944.6,70539.96,853905.49,1304954.39,49605.44,2706.46,0,0,0.5524304152110764,0.10456698778418358,1.4146294989814177e-4,0.008883492291318575,0.002592291050386139,0.07962607890165169,0.04025329441290245,0.0013064550230711283,0.030935775291893248,0.027417440179143788,0.06945421187961727,0.08200113208821955,3.9096293663814586e-4,0,0,0.26585058089241337,1.972048711249258e-4,5.513709664305441e-4,0.014370685662146098,0.01010582066352814,0.17396107655817833,0.0742465338687163,NA,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.2029420130933196,2.540988838925477e-4,0,0,151965,11966,0.07874181554963314,44.84,2.9435899455790353,NA,0,1701.7017735258637,7.11
2017,2,Arganzuela,2,Acacias,022,22,15308,1694,1352,2016,767,703,124,243,40,2856,0,12.139119226776794,NA,3373.74,19323,46103,24359,46103,36756,8002,0.21770595276961585,66,0.0017956252040483187,341.57,36665,2.3951528612490405,243,40,15308,0.21344606573026045,0.31753130590339895,0.038265375698895404,0.025964816582571937,0.9357698077185327,34310,0.06423019228146734,2355,0.36307869585846947,10713,384,1,157,9,77,45,11,31,0.3310344827586207,8.620689655172414e-4,0.1353448275862069,0.007758620689655172,0.06637931034482758,0.03879310344827586,0.009482758620689655,0.026724137931034484,1160,1377,19,0.013798111837327523,1596,1311,285,1730,1395,335,1332,893,439,803,677,126,2928,2533,0.04342148220698661,0.04706714550005441,0.03623898139079334,0.02184677331592121,0.07966046359777995,0.06891391881597562,19135752.52,4908600.86,152331,125.61955557306129,32.22325632996567,2000968,1329058.61,1569153.37,7481.37,770277.08,25000,591979.34,524653.35,169992.31,1523704.94,10571171.71,49605.44,2707,0,0,968,932833.71,996161.34,1247.27,364446.6,NA,279287.6,51944.6,70539.96,853905.49,1304954.39,49605.44,2706.46,0,0,0.5524304152110764,0.10456698778418358,1.4146294989814177e-4,0.008883492291318575,0.002592291050386139,0.07962607890165169,0.04025329441290245,0.0013064550230711283,0.030935775291893248,0.027417440179143788,0.06945421187961727,0.08200113208821955,3.9096293663814586e-4,0,0,0.26585058089241337,1.972048711249258e-4,5.513709664305441e-4,0.014370685662146098,0.01010582066352814,0.17396107655817833,0.0742465338687163,NA,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.2029420130933196,2.540988838925477e-4,0,0,151965,11966,0.07874181554963314,44.84,2.9435899455790353,4,2,1817.5812482709266,6.75
2017,2,Arganzuela,3,Chopera,023,23,8427,860,740,1159,399,256,32,133,22,1620,3,10.770476470777384,NA,2872.11,14244,33271,17205,33271,19831,4754,0.23972568201300992,262,0.013211638344006857,348.09,19764,2.3453186187255137,133,22,8427,0.23401133373810967,0.3982702702702703,0.10043513458814005,0.029548674357417537,0.8700161910544424,17195,0.12998380894555758,2569,0.23695638876995534,3874,300,2,98,3,15,20,8,17,0.4149377593360996,0.0027662517289073307,0.1355463347164592,0.004149377593360996,0.02074688796680498,0.027662517289073305,0.011065006915629323,0.02351313969571231,723,936,24,0.02564102564102564,1254,871,383,1420,940,480,1134,655,479,629,474,155,2388,2049,0.06323433008925419,0.07160506278049518,0.057183198023296855,0.031718017245726385,0.12041752811255106,0.10332308002622158,19135752.52,4908600.86,152331,125.61955557306129,32.22325632996567,2000968,1329058.61,1569153.37,7481.37,770277.08,25000,591979.34,524653.35,169992.31,1523704.94,10571171.71,49605.44,2707,0,0,968,932833.71,996161.34,1247.27,364446.6,NA,279287.6,51944.6,70539.96,853905.49,1304954.39,49605.44,2706.46,0,0,0.5524304152110764,0.10456698778418358,1.4146294989814177e-4,0.008883492291318575,0.002592291050386139,0.07962607890165169,0.04025329441290245,0.0013064550230711283,0.030935775291893248,0.027417440179143788,0.06945421187961727,0.08200113208821955,3.9096293663814586e-4,0,0,0.26585058089241337,1.972048711249258e-4,5.513709664305441e-4,0.014370685662146098,0.01010582066352814,0.17396107655817833,0.0742465338687163,NA,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.2029420130933196,2.540988838925477e-4,0,0,151965,11966,0.07874181554963314,44.84,2.9435899455790353,5,1,2545.0185470969996,8.09
2017,2,Arganzuela,4,Legazpi,024,24,7391,838,895,1325,779,812,131,212,47,1765,0,12.887200384289237,NA,3629.01,20054,51651,25870,51651,18944,4485,0.23675042229729729,94,0.004961993243243243,133.89,18938,2.562305506697339,212,47,7391,0.07793853627626994,0.27235772357723576,0.039602914774527403,0.028989333614954066,0.9314077516105186,17639,0.06859224838948147,1299,0.4492859758330282,6135,109,0,80,3,31,19,8,13,0.2529002320185615,0,0.18561484918793503,0.0069605568445475635,0.07192575406032482,0.04408352668213457,0.018561484918793503,0.030162412993039442,431,548,14,0.025547445255474453,1071,940,131,1008,851,157,750,520,230,477,403,74,1821,1485,0.05653505067567568,0.05320945945945946,0.03959037162162162,0.02517947635135135,0.0961254222972973,0.07838893581081081,19135752.52,4908600.86,152331,125.61955557306129,32.22325632996567,2000968,1329058.61,1569153.37,7481.37,770277.08,25000,591979.34,524653.35,169992.31,1523704.94,10571171.71,49605.44,2707,0,0,968,932833.71,996161.34,1247.27,364446.6,NA,279287.6,51944.6,70539.96,853905.49,1304954.39,49605.44,2706.46,0,0,0.5524304152110764,0.10456698778418358,1.4146294989814177e-4,0.008883492291318575,0.002592291050386139,0.07962607890165169,0.04025329441290245,0.0013064550230711283,0.030935775291893248,0.027417440179143788,0.06945421187961727,0.08200113208821955,3.9096293663814586e-4,0,0,0.26585058089241337,1.972048711249258e-4,5.513709664305441e-4,0.014370685662146098,0.01010582066352814,0.17396107655817833,0.0742465338687163,NA,0.05689759831073329,0.010582363789913037,0.19004065243960372,0.2029420130933196,2.540988838925477e-4,0,0,151965,11966,0.07874181554963314,44.84,2.9435899455790353,5,1,3482.1731601336073,5.08
