ventana,anio_t0,anio_t1,codigo_barrio,barrio_nombre,indice_gentrificacion
A,2017,2019,171,"Villaverde Alto, Casco Histórico de Villaverde",-0.11455225670857404
A,2017,2019,172,San Cristóbal,-0.2272832285596736
A,2017,2019,173,Butarque,-0.1839924905961749
A,2017,2019,174,Los Rosales,-0.19683153105425566
A,2017,2019,175,Ángeles,-0.1891405163092474
A,2017,2019,182,Santa Eugenia,-0.0908708652857587
A,2017,2019,201,Simancas,0.05937645611426698
A,2017,2019,202,Hellín,-0.13603726901418042
A,2017,2019,203,Amposta,-0.07856145109654328
A,2017,2019,204,Arcos,-0.20262240042677768
A,2017,2019,205,Rosas,-0.23407200233861353
A,2017,2019,206,Rejas,0.1621020974201984
A,2017,2019,207,Canillejas,-0.04324131918882032
A,2017,2019,208,El Salvador,-0.0031908268656103225
A,2017,2019,211,Alameda de Osuna,-0.24541796769996327
A,2017,2019,212,Aeropuerto,-0.004534301964969525
A,2017,2019,213,Casco Histórico de Barajas,0.1198026822210317
A,2017,2019,214,Timón,-0.0031866947636106403
A,2017,2019,215,Corralejos,-0.06829426450954619
B,2018,2020,011,Palacio,0.7585048355659575
B,2018,2020,012,Embajadores,0.8627729800540411
B,2018,2020,013,Cortes,0.964229621571202
B,2018,2020,014,Justicia,1.0897073234782109
B,2018,2020,015,Universidad,0.9877558719076049
B,2018,2020,016,Sol,1.3889206475661091
B,2018,2020,021,Imperial,0.06826914458587531
B,2018,2020,022,Acacias,0.12601880717737918
B,2018,2020,023,Chopera,0.18688711457350657
B,2018,2020,024,Legazpi,0.18532806009058805
B,2018,2020,025,Delicias,0.24925753567732542
B,2018,2020,026,Palos de la Frontera,0.3931857440197137
B,2018,2020,027,Atocha,-0.08181822203371579
B,2018,2020,031,Pacífico,0.14319682724182736
B,2018,2020,032,Adelfas,0.05900137832335404
B,2018,2020,033,Estrella,-0.11811715102178999
B,2018,2020,034,Ibiza,0.4574488137316592
B,2018,2020,035,Los Jerónimos,0.3942508365559981
B,2018,2020,036,Niño Jesús,0.052304322553766595
B,2018,2020,041,Recoletos,0.8210471444856066
B,2018,2020,042,Goya,0.5411111748615991
B,2018,2020,043,Fuente del Berro,0.35526082006841436
B,2018,2020,044,Guindalera,0.3215444832597582
B,2018,2020,045,Lista,0.6033352533978946
B,2018,2020,046,Castellana,0.7568266625580737
B,2018,2020,051,El Viso,0.4689599060813127
B,2018,2020,052,Prosperidad,0.2326413408748465
B,2018,2020,053,Ciudad Jardín,0.2897630022085961
B,2018,2020,054,Hispanoamérica,0.167257435689773
B,2018,2020,055,Nueva España,0.3357530949151521
B,2018,2020,056,Castilla,0.17475524726107702
B,2018,2020,061,Bellas Vistas,0.20691533634169124
B,2018,2020,062,Cuatro Caminos,0.3538442132936501
B,2018,2020,063,Castillejos,0.36655338630969375
B,2018,2020,064,Almenara,0.0849030887003663
B,2018,2020,065,Valdeacederas,0.24474645035703102
B,2018,2020,066,Berruguete,0.21086514906135304
B,2018,2020,071,Gaztambide,0.5215062252408527
B,2018,2020,072,Arapiles,0.4954241279909958
B,2018,2020,073,Trafalgar,0.6837336740948803
B,2018,2020,074,Almagro,0.575944935464658
B,2018,2020,075,Ríos Rosas,0.41007286749711236
B,2018,2020,076,Vallehermoso,0.247847239149617
B,2018,2020,081,El Pardo,-0.08819738698241213
B,2018,2020,082,Fuentelarreina,-0.06347544318714309
B,2018,2020,083,Peñagrande,-0.16724786055972823
B,2018,2020,084,Pilar,-0.04451130389217816
B,2018,2020,085,La Paz,-0.2273484909316857
B,2018,2020,086,Valverde,-0.01126091564599392
B,2018,2020,087,Mirasierra,-0.06382092121103235
B,2018,2020,088,El Goloso,0.056529886626263064
B,2018,2020,091,Casa de Campo,0.06386227873217641
B,2018,2020,092,Argüelles,0.48317422228786344
B,2018,2020,093,Ciudad Universitaria,0.02784627044393398
B,2018,2020,094,Valdezarza,-0.05800345260118929
B,2018,2020,095,Valdemarín,0.040367384909345175
B,2018,2020,096,El Plantío,0.0780782552323178
B,2018,2020,097,Aravaca,-0.0012182703370090069
B,2018,2020,101,Los Cármenes,-0.10660746858084807
B,2018,2020,102,Puerta del Angel,0.09765090385740915
B,2018,2020,103,Lucero,-0.10619982440731292
B,2018,2020,104,Aluche,-0.11956589872280657
B,2018,2020,105,Campamento,-0.052020516555284564
B,2018,2020,106,Cuatro Vientos,-0.1925373923396511
B,2018,2020,107,Águilas,-0.2200909288680922
B,2018,2020,111,Comillas,0.10894210932318178
B,2018,2020,112,Opañel,-0.030821798091092475
B,2018,2020,113,San Isidro,7.765471391479942e-4
B,2018,2020,114,Vista Alegre,-0.1415934178595733
B,2018,2020,115,Puerta Bonita,-0.09113005828927874
B,2018,2020,116,Buenavista,-0.1793501869150598
B,2018,2020,117,Abrantes,-0.17079228868736798
B,2018,2020,121,Orcasitas,-0.3706344933493215
B,2018,2020,122,Orcasur,-0.2789429491787667
B,2018,2020,123,San Fermín,-0.2172948768327188
