anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,z_pct_pob_25_39,z_pct_extranjeros_ue_ocde,z_nivel_estudios_superiores_pct,z_renta_neta_media_persona,z_pct_hog_unipersonal_bajo65,z_precio_vivienda_declarado_barrio
2017,1,Centro,1,Palacio,011,2.172963391251537,4.566728257175355,0.5552925605555223,0.43178274970866504,2.9866951463102422,1.065408227534702
2017,1,Centro,2,Embajadores,012,3.98972442115249,4.216785649903111,0.2459045540493305,-0.31333937813659546,3.3920939350327424,0.5791133666230736
2017,1,Centro,3,Cortes,013,3.0943013835218633,7.347769648610214,0.7286510374891967,0.6144929048073883,3.749988975314859,1.0830243051893615
2017,1,Centro,4,Justicia,014,3.1083032500174257,5.761699185942299,0.8551791676071663,0.9465379530284325,3.7433005637130568,1.8757857653336152
2017,1,Centro,5,Universidad,015,3.6452897746270825,4.8920157759236425,0.5590615924626591,0.2167839690699805,3.5717578002060297,1.0754919133646108
2017,1,Centro,6,Sol,016,3.2724391150896195,8.728305607597207,0.5212773865401102,0.175026083155319,3.81351880411298,1.0698653989068074
2017,2,Arganzuela,1,Imperial,021,-0.01712249933972052,-0.6683936416519685,0.34924869123177743,0.4904611172764793,0.6908685037878767,0.07864211908159621
2017,2,Arganzuela,2,Acacias,022,0.40089501280567447,-0.9762901552572565,0.3971502068572299,0.5977276569308699,0.5047317992791449,0.4542897887933583
2017,2,Arganzuela,3,Chopera,023,1.1126500045515344,-0.6639319577958028,-0.15858007427426235,-0.19070469459539635,0.3504220514222944,0.07339526146979919
2017,2,Arganzuela,4,Legazpi,024,1.0164791601695975,-0.7126824041190161,0.7770036764121474,0.7112035476506376,1.1056064472383242,0.6481197949530481
2017,2,Arganzuela,5,Delicias,025,0.8951411147107015,-0.307751425573285,0.3288708041991044,0.28089551881999975,0.9361215874207907,0.3419189555126266
2017,2,Arganzuela,6,Palos de la Frontera,026,1.7574322491085943,0.3825817562848512,0.23406853897998792,0.12473033952576391,1.5654119526644368,0.07150457037669121
2017,2,Arganzuela,7,Atocha,027,-1.1082526444212266,-1.4317212259941619,-0.11840841166351572,-0.2191124757194969,0.7638292827494787,0.2144462165796726
2017,3,Retiro,1,Pacífico,031,0.09650166487474691,-0.6035250918306456,0.41614437871361715,0.5225945090398061,0.4472690572583565,0.3656778809356558
2017,3,Retiro,2,Adelfas,032,0.38569423622725524,-0.9918277918687453,0.396046322167307,0.5461900430882394,0.5564591796483432,0.30466702578255894
2017,3,Retiro,3,Estrella,033,-1.017428545804309,-1.7868769003421072,0.7024408251415605,1.0809704035938483,-1.1825493325126815,0.35528287649202295
2017,3,Retiro,4,Ibiza,034,-0.0387197282985301,0.5536789656845079,0.6724779800549104,0.8086903593770592,0.5337313500206039,1.2340062397088605
2017,3,Retiro,5,Los Jerónimos,035,-0.24271535628741106,1.9261019253131464,0.896132678004923,1.6019349579789928,0.1900392570289761,1.8013274646950008
2017,3,Retiro,6,Niño Jesús,036,-1.2354235533555709,-1.0223302400989893,1.078377531808806,1.4887695348124939,-0.930825167593166,1.1734737521817311
2017,4,Salamanca,1,Recoletos,041,0.5104053877618889,3.805612176000956,1.274210047662396,2.164657398278799,1.7601679915079376,3.2210238677851915
2017,4,Salamanca,2,Goya,042,0.9078604886347298,1.6584923525725896,0.8972956972252254,1.128627173020618,1.2421925684845527,1.6409755992160835
2017,4,Salamanca,3,Fuente del Berro,043,0.6481339735314974,0.7745308613146165,0.4506564279095842,0.5191793659538487,0.8551694575397744,0.8378646934497174
2017,4,Salamanca,4,Guindalera,044,0.5364831505979022,0.12220367210175706,0.6744907594765952,0.7526509660120303,0.6881214063096804,0.5394695987631707
2017,4,Salamanca,5,Lista,045,1.2279016410619539,1.9085704091333755,0.9245934688512453,1.0854721831162466,1.0522954621642773,1.6772632005572967
2017,4,Salamanca,6,Castellana,046,1.2818082003807492,2.727894955062213,1.1687875213711165,1.8732835995359751,1.2972498557630014,2.3022618935886046
2017,5,Chamartin,1,El Viso,051,0.09100644278834133,1.0007916110132644,1.1960808676642392,2.091387055707348,0.06743788516764367,1.9869492898440497
2017,5,Chamartin,2,Prosperidad,052,0.7788265947345157,-0.33640708995935054,0.558909863235024,0.6503519072099414,0.6845609963515497,0.44525395585842575
2017,5,Chamartin,3,Ciudad Jardín,053,0.6802138815554205,-0.004044218565483631,0.5479229435875975,0.6011428000168273,0.7176542929640954,0.6676113774269743
2017,5,Chamartin,4,Hispanoamérica,054,-0.5420786147258203,-0.5281142075138561,1.011332870252525,1.5878086843052597,0.08841325306919981,1.1500944836047076
2017,5,Chamartin,5,Nueva España,055,-0.3817752916889817,0.28890762986356444,1.2730965682032696,1.8636591053846405,0.41647094504423326,1.728858565929455
