anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,n_comercio_menor,n_turismo_alojamiento,n_bares_restaurantes,n_inmobiliarias,n_educacion,n_sanitarias,n_servicios_sociales,n_arte_recreo_ocio,pct_comercio_menor,pct_turismo_alojamiento,pct_bares_restaurantes,pct_inmobiliarias,pct_educacion,pct_sanitarias,pct_servicios_sociales,pct_arte_recreo_ocio,n_locales_activos_total,n_locales_todos_estados,n_uso_vivienda,pct_uso_vivienda
2017,1,Centro,1,Palacio,011,535,27,571,12,42,13,9,41,0.31433607520564044,0.015863689776733254,0.3354876615746181,0.007050528789659225,0.024676850763807285,0.00763807285546416,0.005287896592244419,0.02408930669800235,1702,2127,62,0.02914903620122238
2017,1,Centro,2,Embajadores,012,1444,20,462,9,62,22,21,44,0.4883327696990193,0.006763611768684477,0.15623943185661143,0.003043625295908015,0.02096719648292188,0.0074399729455529254,0.007101792357118702,0.014879945891105851,2957,3893,124,0.03185204212689442
2017,1,Centro,3,Cortes,013,338,43,415,6,27,10,5,39,0.29314830875975717,0.0372940156114484,0.3599306157849089,0.005203816131830009,0.023417172593235037,0.008673026886383347,0.004336513443191674,0.033824804856895055,1153,1339,10,0.0074682598954443615
2017,1,Centro,4,Justicia,014,844,19,490,4,31,23,5,31,0.45085470085470086,0.01014957264957265,0.26175213675213677,0.002136752136752137,0.01655982905982906,0.012286324786324786,0.002670940170940171,0.01655982905982906,1872,2027,6,0.0029600394671928957
2017,1,Centro,5,Universidad,015,865,27,610,12,70,39,16,56,0.37236332328885063,0.01162290142057684,0.26259147653895826,0.005165733964700818,0.030133448127421438,0.016788635385277657,0.006887645286267757,0.02410675850193715,2323,2902,107,0.0368711233631978
2017,1,Centro,6,Sol,016,721,39,458,1,7,1,7,29,0.460997442455243,0.024936061381074168,0.2928388746803069,6.393861892583121e-4,0.004475703324808184,6.393861892583121e-4,0.004475703324808184,0.01854219948849105,1564,1700,1,5.88235294117647e-4
2017,2,Arganzuela,1,Imperial,021,234,4,105,22,31,33,3,20,0.3218707015130674,0.005502063273727648,0.14442916093535077,0.030261348005502064,0.04264099037138927,0.0453920220082531,0.0041265474552957355,0.027510316368638238,727,894,17,0.01901565995525727
2017,2,Arganzuela,2,Acacias,022,384,1,157,9,77,45,11,31,0.3310344827586207,8.620689655172414e-4,0.1353448275862069,0.007758620689655172,0.06637931034482758,0.03879310344827586,0.009482758620689655,0.026724137931034484,1160,1377,19,0.013798111837327523
2017,2,Arganzuela,3,Chopera,023,300,2,98,3,15,20,8,17,0.4149377593360996,0.0027662517289073307,0.1355463347164592,0.004149377593360996,0.02074688796680498,0.027662517289073305,0.011065006915629323,0.02351313969571231,723,936,24,0.02564102564102564
2017,2,Arganzuela,4,Legazpi,024,109,0,80,3,31,19,8,13,0.2529002320185615,0,0.18561484918793503,0.0069605568445475635,0.07192575406032482,0.04408352668213457,0.018561484918793503,0.030162412993039442,431,548,14,0.025547445255474453
2017,2,Arganzuela,5,Delicias,025,293,1,127,9,32,23,5,7,0.3770913770913771,0.001287001287001287,0.16344916344916344,0.011583011583011582,0.04118404118404118,0.029601029601029602,0.006435006435006435,0.009009009009009009,777,940,7,0.007446808510638298
2017,2,Arganzuela,6,Palos de la Frontera,026,443,6,198,14,43,36,23,17,0.34234930448222567,0.00463678516228748,0.15301391035548687,0.010819165378670788,0.03323029366306028,0.027820710973724884,0.01777434312210201,0.01313755795981453,1294,1502,24,0.015978695073235686
2017,2,Arganzuela,7,Atocha,027,39,0,25,1,3,1,0,1,0.2635135135135135,0,0.16891891891891891,0.006756756756756757,0.02027027027027027,0.006756756756756757,0,0.006756756756756757,148,230,0,0
2017,3,Retiro,1,Pacífico,031,546,0,156,13,37,29,4,17,0.454242928452579,0,0.129783693843594,0.010815307820299502,0.030782029950083195,0.024126455906821963,0.0033277870216306157,0.014143094841930116,1202,1480,12,0.008108108108108109
2017,3,Retiro,2,Adelfas,032,127,3,46,5,19,15,4,8,0.3167082294264339,0.007481296758104738,0.11471321695760599,0.012468827930174564,0.04738154613466334,0.03740648379052369,0.00997506234413965,0.0199501246882793,401,509,1,0.0019646365422396855
2017,3,Retiro,3,Estrella,033,145,2,42,4,22,17,2,6,0.35365853658536583,0.004878048780487805,0.1024390243902439,0.00975609756097561,0.05365853658536585,0.041463414634146344,0.004878048780487805,0.014634146341463415,410,488,5,0.010245901639344262
2017,3,Retiro,4,Ibiza,034,489,0,178,7,10,27,1,6,0.49096385542168675,0,0.178714859437751,0.007028112449799197,0.010040160642570281,0.02710843373493976,0.001004016064257028,0.006024096385542169,996,1073,1,9.319664492078285e-4
2017,3,Retiro,5,Los Jerónimos,035,91,6,84,2,10,7,3,13,0.263768115942029,0.017391304347826087,0.24347826086956523,0.005797101449275362,0.028985507246376812,0.020289855072463767,0.008695652173913044,0.03768115942028986,345,389,2,0.005141388174807198
