iteracion,ventana_test,codigo_barrio,actual,pred,modelo
1,B,013,0.964229621571202,0.8156051818966538,rf
1,B,022,0.12601880717737918,0.2424464073704479,rf
1,B,036,0.052304322553766595,0.1543204512952994,rf
1,B,046,0.7568266625580737,0.45304119570219087,rf
1,B,053,0.2897630022085961,0.29617829860007155,rf
1,B,062,0.3538442132936501,0.3874093476673067,rf
1,B,071,0.5215062252408527,0.46613319254944996,rf
1,B,082,-0.06347544318714309,-0.005989782392904055,rf
1,B,083,-0.16724786055972823,-0.06394396056400974,rf
1,B,096,0.0780782552323178,-0.049085221709334666,rf
1,B,107,-0.2200909288680922,-0.13630404169177074,rf
1,B,112,-0.030821798091092475,-0.044878735286818044,rf
1,B,127,-0.23442823378922223,-0.10497546574131929,rf
1,B,133,-0.16076769244993086,-0.131742210085595,rf
1,B,141,0.04256536786005625,-0.14257902877721246,rf
1,B,152,-0.052214621662028664,-0.056016027034490184,rf
1,B,157,0.19609312990344813,0.20920365529153806,rf
1,B,163,-0.07954501493557056,-0.06139291513269192,rf
1,B,172,-0.25815269126009804,-0.14621987880005197,rf
1,B,182,-0.12046245796632106,-0.10679935593858193,rf
1,B,192,-0.6761836768107017,-0.13533625692888637,rf
1,B,205,-0.2157866591785999,-0.17067932754335643,rf
1,B,206,-0.6818148132011176,0.13820184078108977,rf
1,B,212,-0.16039825886955042,-0.08636376989048763,rf
1,B,013,0.964229621571202,0.8830630779266357,xgboost
1,B,022,0.12601880717737918,0.21554526686668396,xgboost
1,B,036,0.052304322553766595,0.11477760225534439,xgboost
1,B,046,0.7568266625580737,0.4918903410434723,xgboost
1,B,053,0.2897630022085961,0.3309551477432251,xgboost
1,B,062,0.3538442132936501,0.3488346040248871,xgboost
1,B,071,0.5215062252408527,0.48013564944267273,xgboost
1,B,082,-0.06347544318714309,-0.0622403509914875,xgboost
1,B,083,-0.16724786055972823,-0.05850572884082794,xgboost
1,B,096,0.0780782552323178,-0.13178567588329315,xgboost
1,B,107,-0.2200909288680922,-0.14188158512115479,xgboost
1,B,112,-0.030821798091092475,-0.051787231117486954,xgboost
1,B,127,-0.23442823378922223,-0.1178860291838646,xgboost
1,B,133,-0.16076769244993086,-0.15086416900157928,xgboost
1,B,141,0.04256536786005625,-0.14995045959949493,xgboost
1,B,152,-0.052214621662028664,-0.0315253883600235,xgboost
1,B,157,0.19609312990344813,0.2143765091896057,xgboost
1,B,163,-0.07954501493557056,-0.05457216501235962,xgboost
1,B,172,-0.25815269126009804,-0.17541971802711487,xgboost
1,B,182,-0.12046245796632106,-0.10018590092658997,xgboost
1,B,192,-0.6761836768107017,-0.1179392859339714,xgboost
1,B,205,-0.2157866591785999,-0.18358168005943298,xgboost
1,B,206,-0.6818148132011176,0.17367053031921387,xgboost
1,B,212,-0.16039825886955042,-0.09647540003061295,xgboost
2,C,013,1.0560965507150604,1.0120428818068774,rf
2,C,022,0.07817268921237099,0.2532972838964624,rf
2,C,036,0.05664527117677024,0.1898779677121145,rf
2,C,046,0.7222471690583743,0.5492647372769653,rf
2,C,053,0.31676209614773965,0.3347930732725388,rf
2,C,062,0.35096492031016446,0.41370978471813913,rf
2,C,071,0.49073756410429653,0.5066854664926497,rf
2,C,082,-0.14001690417428678,-0.031244410001961327,rf
2,C,083,-0.16697050431823401,-0.047331507502676895,rf
2,C,096,0.17584276049781483,0.03880765882684251,rf
