anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,transacciones_vivienda_barrio,tasa_transacciones_vivienda
2017,15,Ciudad Lineal,3,Quintana,153,358,0.014762886597938145
2017,15,Ciudad Lineal,4,La Concepción,154,276,0.013404565322972318
2017,15,Ciudad Lineal,5,San Pascual,155,177,0.009754215805136118
2017,15,Ciudad Lineal,6,San Juan Bautista,156,131,0.010561109319574331
2017,15,Ciudad Lineal,7,Colina,157,77,0.012526435659671384
2017,15,Ciudad Lineal,8,Atalaya,158,19,0.012163892445582587
2017,15,Ciudad Lineal,9,Costillares,159,148,0.0067248273355143585
2017,16,Hortaleza,1,Palomas,161,63,0.009431137724550898
2017,16,Hortaleza,2,Piovera,162,208,0.014345816952893303
2017,16,Hortaleza,3,Canillas,163,314,0.00773284736245875
2017,16,Hortaleza,4,Pinar del Rey,164,552,0.010593789582773577
2017,16,Hortaleza,5,Apóstol Santiago,165,102,0.006699507389162562
2017,16,Hortaleza,6,Valdefuentes,166,976,0.01886537160529622
2017,17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde",171,472,0.010827426421673204
2017,17,Villaverde,2,San Cristóbal,172,209,0.0136986301369863
2017,17,Villaverde,3,Butarque,173,118,0.0068247541931752455
2017,17,Villaverde,4,Los Rosales,174,250,0.006835830690145466
2017,17,Villaverde,5,Ángeles,175,259,0.008538836871950416
2017,18,Villa de Vallecas,1,Casco Histórico de Vallecas,181,524,0.006562386504527295
2017,18,Villa de Vallecas,2,Santa Eugenia,182,165,0.006822128504093277
2017,18,Villa de Vallecas,3,Ensanche de Vallecas,183,564,NA
2017,19,Vicalvaro,1,Casco Histórico de Vicálvaro,191,343,0.006666796244824972
2017,19,Vicalvaro,2,Valdebernardo,192,48,0.0025885779000161787
2017,19,Vicalvaro,3,Valderrivas,193,76,NA
2017,19,Vicalvaro,4,El Cañaveral,194,65,NA
2017,20,San Blas-Canillejas,1,Simancas,201,419,0.015775602409638555
2017,20,San Blas-Canillejas,2,Hellín,202,179,0.020182658698838653
2017,20,San Blas-Canillejas,3,Amposta,203,151,0.018349738728885647
2017,20,San Blas-Canillejas,4,Arcos,204,247,0.01036682615629984
2017,20,San Blas-Canillejas,5,Rosas,205,152,0.004815307609453209
2017,20,San Blas-Canillejas,6,Rejas,206,191,0.012074851435073966
2017,20,San Blas-Canillejas,7,Canillejas,207,272,0.009540512101017187
2017,20,San Blas-Canillejas,8,El Salvador,208,76,0.006668421514433623
2017,21,Barajas,1,Alameda de Osuna,211,158,0.00812924470055567
2017,21,Barajas,2,Aeropuerto,212,18,0.010089686098654708
2017,21,Barajas,3,Casco Histórico de Barajas,213,69,0.00941336971350614
2017,21,Barajas,4,Timón,214,89,0.008055027604308082
2017,21,Barajas,5,Corralejos,215,72,0.009745533297238766
2018,1,Centro,1,Palacio,011,227,0.010053144375553586
2018,1,Centro,2,Embajadores,012,1026,0.02290383069916957
2018,1,Centro,3,Cortes,013,228,0.02160113690194221
2018,1,Centro,4,Justicia,014,445,0.026770137760933645
2018,1,Centro,5,Universidad,015,609,0.0196508663805621
2018,1,Centro,6,Sol,016,114,0.015761094981335544
2018,2,Arganzuela,1,Imperial,021,160,0.007024938531787847
2018,2,Arganzuela,2,Acacias,022,61,0.0016559437522056628
2018,2,Arganzuela,3,Chopera,023,229,0.01153129563422126
2018,2,Arganzuela,4,Legazpi,024,177,0.009180497925311204
2018,2,Arganzuela,5,Delicias,025,285,0.010336198455010336
2018,2,Arganzuela,6,Palos de la Frontera,026,336,0.012998568610004256
2018,2,Arganzuela,7,Atocha,027,4,0.003427592116538132
2018,3,Retiro,1,Pacífico,031,372,0.011041524442729512
2018,3,Retiro,2,Adelfas,032,159,0.008660130718954249
2018,3,Retiro,3,Estrella,033,190,0.00815625670744795
2018,3,Retiro,4,Ibiza,034,333,0.015463199442767587
2018,3,Retiro,5,Los Jerónimos,035,116,0.016331127692524285
2018,3,Retiro,6,Niño Jesús,036,128,0.00835727343954035
2018,4,Salamanca,1,Recoletos,041,248,0.01568032372281234
2018,4,Salamanca,2,Goya,042,420,0.014151897028101624
2018,4,Salamanca,3,Fuente del Berro,043,301,0.014466285384726295
2018,4,Salamanca,4,Guindalera,044,593,0.014327132157525973
2018,4,Salamanca,5,Lista,045,336,0.01598781880472021
2018,4,Salamanca,6,Castellana,046,217,0.012776731040979745
2018,5,Chamartin,1,El Viso,051,190,0.011059371362048894
2018,5,Chamartin,2,Prosperidad,052,419,0.011439336027083106
2018,5,Chamartin,3,Ciudad Jardín,053,281,0.015145798523149895
2018,5,Chamartin,4,Hispanoamérica,054,297,0.009436360170299295
2018,5,Chamartin,5,Nueva España,055,202,0.008227770762901715
2018,5,Chamartin,6,Castilla,056,142,0.00838203175727525
2018,6,Tetuan,1,Bellas Vistas,061,463,0.016041854341348485
2018,6,Tetuan,2,Cuatro Caminos,062,484,0.014091067893327123
2018,6,Tetuan,3,Castillejos,063,282,0.013796477495107632
2018,6,Tetuan,4,Almenara,064,570,0.02533558538536759
2018,6,Tetuan,5,Valdeacederas,065,373,0.014552690101829815
2018,6,Tetuan,6,Berruguete,066,303,0.01228112840466926
2018,7,Chamberi,1,Gaztambide,071,313,0.013763081523172984
2018,7,Chamberi,2,Arapiles,072,366,0.014989556456567146
2018,7,Chamberi,3,Trafalgar,073,396,0.016102797657774885
2018,7,Chamberi,4,Almagro,074,253,0.012744307878299416
2018,7,Chamberi,5,Ríos Rosas,075,394,0.014531238474588773
2018,7,Chamberi,6,Vallehermoso,076,209,0.010387157695939566
2018,8,Fuencarral-El Pardo,1,El Pardo,081,45,0.01292731973570813
2018,8,Fuencarral-El Pardo,2,Fuentelarreina,082,37,0.011412708204811845
2018,8,Fuencarral-El Pardo,3,Peñagrande,083,501,0.01124932638764146
2018,8,Fuencarral-El Pardo,4,Pilar,084,209,0.004518430439952438
2018,8,Fuencarral-El Pardo,5,La Paz,085,198,0.005848125941459669
2018,8,Fuencarral-El Pardo,6,Valverde,086,674,0.010859582695561105
2018,8,Fuencarral-El Pardo,7,Mirasierra,087,360,0.011217748971706343
2018,8,Fuencarral-El Pardo,8,El Goloso,088,246,0.013665148316853682
2018,9,Moncloa-Aravaca,1,Casa de Campo,091,119,0.009188479654080766
2018,9,Moncloa-Aravaca,2,Argüelles,092,361,0.015004779916039736
2018,9,Moncloa-Aravaca,3,Ciudad Universitaria,093,146,0.00904416775072787
2018,9,Moncloa-Aravaca,4,Valdezarza,094,326,0.011051971386920705
2018,9,Moncloa-Aravaca,5,Valdemarín,095,109,0.016567867457060344
2018,9,Moncloa-Aravaca,6,El Plantío,096,24,0.00876872488125685
2018,9,Moncloa-Aravaca,7,Aravaca,097,521,0.019890810521895164
2018,10,Latina,1,Los Cármenes,101,165,0.009572431397574984
2018,10,Latina,2,Puerta del Angel,102,551,0.013265281556202903
2018,10,Latina,3,Lucero,103,426,0.011975374581845782
2018,10,Latina,4,Aluche,104,692,0.010467402813492665
2018,10,Latina,5,Campamento,105,207,0.010868994486741926
2018,10,Latina,6,Cuatro Vientos,106,31,0.0054606306147613175
2018,10,Latina,7,Águilas,107,424,0.008270750024383107
2018,11,Carabanchel,1,Comillas,111,145,0.0064856644451402245
2018,11,Carabanchel,2,Opañel,112,286,0.008784323361385835
2018,11,Carabanchel,3,San Isidro,113,451,0.011663089296335565
2018,11,Carabanchel,4,Vista Alegre,114,511,0.011328869773422604
2018,11,Carabanchel,5,Puerta Bonita,115,273,0.008015502510349687
2018,11,Carabanchel,6,Buenavista,116,428,0.009238473493351752
2018,11,Carabanchel,7,Abrantes,117,182,0.0060949063996517195
