ventana,barrio_nombre,indice_gentrificacion,categoria
A,Canillejas,-0.04324131918882032,4: Quartile 3+4 (no gentrification dynamic)
A,San Isidro,-0.04376676291383748,4: Quartile 3+4 (no gentrification dynamic)
A,Cuatro Vientos,-0.0557089765480924,4: Quartile 3+4 (no gentrification dynamic)
A,Valverde,-0.06212518075622975,4: Quartile 3+4 (no gentrification dynamic)
A,Corralejos,-0.06829426450954619,4: Quartile 3+4 (no gentrification dynamic)
A,San Pascual,-0.07149606789314428,4: Quartile 3+4 (no gentrification dynamic)
A,Valdezarza,-0.07358265060129374,4: Quartile 3+4 (no gentrification dynamic)
A,Lucero,-0.07514451816080535,4: Quartile 3+4 (no gentrification dynamic)
A,Amposta,-0.07856145109654328,4: Quartile 3+4 (no gentrification dynamic)
A,Apóstol Santiago,-0.08224919075270377,4: Quartile 3+4 (no gentrification dynamic)
A,Santa Eugenia,-0.0908708652857587,4: Quartile 3+4 (no gentrification dynamic)
A,Los Cármenes,-0.09242043818395163,4: Quartile 3+4 (no gentrification dynamic)
A,Fuentelarreina,-0.09908666545534232,4: Quartile 3+4 (no gentrification dynamic)
A,Campamento,-0.09991448164438277,4: Quartile 3+4 (no gentrification dynamic)
A,Puerta Bonita,-0.102268884425383,4: Quartile 3+4 (no gentrification dynamic)
A,Moscardó,-0.10419445172828161,4: Quartile 3+4 (no gentrification dynamic)
A,Fontarrón,-0.10745091701061103,4: Quartile 3+4 (no gentrification dynamic)
A,Mirasierra,-0.10952207965995232,4: Quartile 3+4 (no gentrification dynamic)
A,"Villaverde Alto, Casco Histórico de Villaverde",-0.11455225670857404,4: Quartile 3+4 (no gentrification dynamic)
A,Pinar del Rey,-0.11668997072605258,4: Quartile 3+4 (no gentrification dynamic)
A,Estrella,-0.11673364221201374,4: Quartile 3+4 (no gentrification dynamic)
A,Hellín,-0.13603726901418042,4: Quartile 3+4 (no gentrification dynamic)
A,Media Legua,-0.13737910762937725,4: Quartile 3+4 (no gentrification dynamic)
A,Vinateros,-0.13773985666033778,4: Quartile 3+4 (no gentrification dynamic)
A,Peñagrande,-0.14149003665276932,4: Quartile 3+4 (no gentrification dynamic)
A,Vista Alegre,-0.14593236083009237,4: Quartile 3+4 (no gentrification dynamic)
A,Palomeras Sureste,-0.15307283077758377,4: Quartile 3+4 (no gentrification dynamic)
A,Buenavista,-0.1545994876156783,4: Quartile 3+4 (no gentrification dynamic)
A,Portazgo,-0.15574315637659306,4: Quartile 3+4 (no gentrification dynamic)
A,Zofío,-0.15822222928701404,4: Quartile 3+4 (no gentrification dynamic)
A,Almendrales,-0.15822547417787766,4: Quartile 3+4 (no gentrification dynamic)
A,Aluche,-0.1597817745605807,4: Quartile 3+4 (no gentrification dynamic)
A,La Paz,-0.1634686314473955,4: Quartile 3+4 (no gentrification dynamic)
A,Palomeras Bajas,-0.16670879021027424,4: Quartile 3+4 (no gentrification dynamic)
