anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,n_altas_internas,n_altas_internas_esp,n_altas_internas_ext,n_bajas_internas,n_bajas_internas_esp,n_bajas_internas_ext,n_altas_externas,n_altas_externas_esp,n_altas_externas_ext,n_bajas_externas,n_bajas_externas_esp,n_bajas_externas_ext,n_entradas_totales,n_salidas_totales,poblacion_total_barrio,tasa_altas_internas,tasa_bajas_internas,tasa_altas_externas,tasa_bajas_externas,tasa_entradas_totales,tasa_salidas_totales
2017,1,Centro,1,Palacio,011,1370,977,393,1705,1181,523,1814,967,847,811,632,179,3184,2516,22449,0.06102721724798432,0.07594993095460822,0.08080538108601719,0.03612633079424473,0.14183259833400153,0.11207626174885296
2017,1,Centro,2,Embajadores,012,3429,1861,1568,4332,2379,1953,4126,1806,2320,1807,1227,580,7555,6139,44793,0.07655213984327909,0.09671153974951444,0.09211260688053936,0.04034112472931038,0.16866474672381845,0.1370526644788248
2017,1,Centro,3,Cortes,013,665,416,249,857,586,271,957,466,491,418,321,97,1622,1275,10557,0.06299138012693,0.08117836506583309,0.09065075305484513,0.039594581794070285,0.15364213318177514,0.12077294685990338
2017,1,Centro,4,Justicia,014,1006,650,356,1366,922,444,1610,795,815,596,451,145,2616,1962,16443,0.061181049686796815,0.08307486468406008,0.09791400595998297,0.03624642705102475,0.15909505564677978,0.11932129173508484
2017,1,Centro,5,Universidad,015,1988,1216,772,2689,1697,992,2886,1480,1406,1161,866,295,4874,3850,30810,0.06452450503083415,0.08727685816293411,0.09367088607594937,0.037682570593963,0.15819539110678352,0.12495942875689711
2017,1,Centro,6,Sol,016,388,223,165,667,387,280,774,347,427,314,218,96,1162,981,7366,0.05267445017648656,0.09055118110236221,0.10507738256855824,0.04262829215313603,0.1577518327450448,0.13317947325549823
2017,2,Arganzuela,1,Imperial,021,941,779,162,1018,823,195,950,651,299,515,427,88,1891,1533,22708,0.041439140391051614,0.04483001585344372,0.041835476484058484,0.02267923198872644,0.08327461687511009,0.06750924784217016
2017,2,Arganzuela,2,Acacias,022,1596,1311,285,1730,1395,335,1332,893,439,803,677,126,2928,2533,36756,0.04342148220698661,0.04706714550005441,0.03623898139079334,0.02184677331592121,0.07966046359777995,0.06891391881597562
2017,2,Arganzuela,3,Chopera,023,1254,871,383,1420,940,480,1134,655,479,629,474,155,2388,2049,19831,0.06323433008925419,0.07160506278049518,0.057183198023296855,0.031718017245726385,0.12041752811255106,0.10332308002622158
2017,2,Arganzuela,4,Legazpi,024,1071,940,131,1008,851,157,750,520,230,477,403,74,1821,1485,18944,0.05653505067567568,0.05320945945945946,0.03959037162162162,0.02517947635135135,0.0961254222972973,0.07838893581081081
2017,2,Arganzuela,5,Delicias,025,1551,1152,399,1709,1260,449,1512,929,583,824,677,147,3063,2533,27318,0.056775752251262905,0.06255948458891573,0.055348122117285306,0.030163262317885645,0.1121238743685482,0.09272274690680138
2017,2,Arganzuela,6,Palos de la Frontera,026,1561,1043,518,1885,1279,606,1817,1037,780,835,630,205,3378,2720,25663,0.06082687137123485,0.07345205159178583,0.07080232240969489,0.03253711569185208,0.13162919378092974,0.10598916728363793
2017,2,Arganzuela,7,Atocha,027,48,34,14,38,34,4,47,32,15,19,17,2,95,57,1111,0.043204320432043204,0.034203420342034205,0.0423042304230423,0.017101710171017102,0.0855085508550855,0.05130513051305131
2017,3,Retiro,1,Pacífico,031,1561,1172,389,1838,1370,468,1568,939,629,868,743,125,3129,2706,33732,0.046276532669275464,0.05448831969643069,0.04648405075299419,0.025732242381121782,0.09276058342226966,0.08022056207755247
2017,3,Retiro,2,Adelfas,032,1061,907,154,1059,867,192,763,544,219,410,342,68,1824,1469,18160,0.05842511013215859,0.05831497797356828,0.042015418502202646,0.022577092511013214,0.10044052863436123,0.0808920704845815
2017,3,Retiro,3,Estrella,033,948,860,88,940,812,128,654,459,195,413,378,35,1602,1353,23230,0.04080929832113646,0.04046491605682307,0.028153250107619456,0.017778734395178648,0.06896254842875592,0.05824365045200172
2017,3,Retiro,4,Ibiza,034,1160,919,241,1271,1005,266,1158,648,510,544,444,100,2318,1815,21386,0.05424109230337604,0.05943140372206116,0.05414757317871505,0.025437201907790145,0.10838866548209108,0.08486860562985131
2017,3,Retiro,5,Los Jerónimos,035,317,269,48,375,307,68,387,255,132,208,182,26,704,583,7073,0.04481832320090485,0.053018521136717095,0.05471511381309204,0.02940760639049908,0.09953343701399689,0.08242612752721618
2017,3,Retiro,6,Niño Jesús,036,749,652,97,718,623,95,463,333,130,299,269,30,1212,1017,15220,0.04921156373193167,0.04717477003942181,0.030420499342969778,0.019645203679369252,0.07963206307490145,0.06681997371879106
2017,4,Salamanca,1,Recoletos,041,923,676,247,1143,875,268,1344,685,659,480,391,89,2267,1623,15559,0.059322578571887656,0.07346230477537116,0.08638087280673565,0.030850311716691305,0.1457034513786233,0.10431261649206247
2017,4,Salamanca,2,Goya,042,1450,1038,412,1877,1397,480,2231,1200,1031,849,677,172,3681,2726,29380,0.04935330156569095,0.06388699795779441,0.0759360108917631,0.02889720898570456,0.12528931245745406,0.09278420694349898
2017,4,Salamanca,3,Fuente del Berro,043,1123,819,304,1218,890,328,1209,725,484,578,464,114,2332,1796,20643,0.0544010076054837,0.059003051881993895,0.05856706874000872,0.027999806229714673,0.11296807634549241,0.08700285811170858
2017,4,Salamanca,4,Guindalera,044,2234,1688,546,2314,1766,548,2366,1347,1019,1030,819,211,4600,3344,40775,0.054788473329245864,0.056750459840588595,0.058025751072961373,0.025260576333537708,0.11281422440220723,0.0820110361741263
2017,4,Salamanca,5,Lista,045,1111,843,268,1295,951,344,1567,800,767,598,436,162,2678,1893,20831,0.053333973405021363,0.06216696269982238,0.07522442513561518,0.028707215208103307,0.12855839854063655,0.0908741779079257
2017,4,Salamanca,6,Castellana,046,900,675,225,1282,979,303,1520,741,779,491,387,104,2420,1773,17060,0.05275498241500586,0.07514654161781946,0.08909730363423213,0.028780773739742086,0.141852286049238,0.10392731535756154
2017,5,Chamartin,1,El Viso,051,1030,849,181,1222,988,234,961,573,388,376,305,71,1991,1598,17096,0.060248011230697236,0.0714787084698175,0.05621197941038839,0.021993448759943846,0.11645999064108563,0.09347215722976135
2017,5,Chamartin,2,Prosperidad,052,2074,1659,415,2253,1740,513,1968,1147,821,889,723,166,4042,3142,36186,0.0573149836953518,0.0622616481512187,0.05438567401757586,0.024567512297573646,0.11170065771292766,0.08682916044879235
