anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,poblacion_total_barrio,pob_25_39_barrio,pct_pob_25_39
2017,13,Puente de Vallecas,5,Portazgo,135,27762,5777,0.20809019523089115
2017,13,Puente de Vallecas,6,Numancia,136,46019,10202,0.2216910406571199
2017,14,Moratalaz,1,Pavones,141,9152,1543,0.16859702797202797
2017,14,Moratalaz,2,Horcajo,142,6453,810,0.12552301255230125
2017,14,Moratalaz,3,Marroquina,143,27427,4232,0.15430050679986873
2017,14,Moratalaz,4,Media Legua,144,17862,3203,0.17931922517075355
2017,14,Moratalaz,5,Fontarrón,145,16770,3093,0.18443649373881932
2017,14,Moratalaz,6,Vinateros,146,16831,2845,0.1690333313528608
2017,15,Ciudad Lineal,1,Ventas,151,47437,9593,0.2022261104201362
2017,15,Ciudad Lineal,2,Pueblo Nuevo,152,60581,12440,0.20534491012033476
2017,15,Ciudad Lineal,3,Quintana,153,24250,5282,0.21781443298969072
2017,15,Ciudad Lineal,4,La Concepción,154,20590,4139,0.2010199125789218
2017,15,Ciudad Lineal,5,San Pascual,155,18146,3381,0.1863220544472611
2017,15,Ciudad Lineal,6,San Juan Bautista,156,12404,2131,0.1717994195420832
2017,15,Ciudad Lineal,7,Colina,157,6147,1111,0.18073857166097282
2017,15,Ciudad Lineal,8,Atalaya,158,1562,238,0.1523687580025608
2017,15,Ciudad Lineal,9,Costillares,159,22008,3486,0.15839694656488548
2017,16,Hortaleza,1,Palomas,161,6680,946,0.14161676646706586
2017,16,Hortaleza,2,Piovera,162,14499,2281,0.15732119456514243
2017,16,Hortaleza,3,Canillas,163,40606,7570,0.18642565138156922
2017,16,Hortaleza,4,Pinar del Rey,164,52106,9776,0.18761754884274365
2017,16,Hortaleza,5,Apóstol Santiago,165,15225,2674,0.17563218390804597
2017,16,Hortaleza,6,Valdefuentes,166,51735,12032,0.23256982700299603
2017,17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde",171,43593,8716,0.19994035739682978
2017,17,Villaverde,2,San Cristóbal,172,15257,3398,0.22271744117454284
2017,17,Villaverde,3,Butarque,173,17290,3861,0.22330827067669173
2017,17,Villaverde,4,Los Rosales,174,36572,6772,0.1851689817346604
2017,17,Villaverde,5,Ángeles,175,30332,5492,0.1810629038639061
2017,18,Villa de Vallecas,1,Casco Histórico de Vallecas,181,79849,22283,0.2790642337411865
2017,18,Villa de Vallecas,2,Santa Eugenia,182,24186,4736,0.1958157611841561
2017,19,Vicalvaro,1,Casco Histórico de Vicálvaro,191,51449,8209,0.15955606522964488
2017,19,Vicalvaro,2,Valdebernardo,192,18543,3649,0.1967858491074799
2017,20,San Blas-Canillejas,1,Simancas,201,26560,5492,0.20677710843373495
2017,20,San Blas-Canillejas,2,Hellín,202,8869,1658,0.18694328560153342
2017,20,San Blas-Canillejas,3,Amposta,203,8229,1676,0.20366994774577712
2017,20,San Blas-Canillejas,4,Arcos,204,23826,4032,0.16922689498866783
2017,20,San Blas-Canillejas,5,Rosas,205,31566,4063,0.1287144395868973
2017,20,San Blas-Canillejas,6,Rejas,206,15818,3858,0.24389935516500189
2017,20,San Blas-Canillejas,7,Canillejas,207,28510,5707,0.20017537706068048
2017,20,San Blas-Canillejas,8,El Salvador,208,11397,1743,0.15293498289023427
2017,21,Barajas,1,Alameda de Osuna,211,19436,3298,0.16968512039514302
2017,21,Barajas,2,Aeropuerto,212,1784,385,0.2158071748878924
2017,21,Barajas,3,Casco Histórico de Barajas,213,7330,1877,0.25607094133697134
2017,21,Barajas,4,Timón,214,11049,2663,0.24101728663227442
2017,21,Barajas,5,Corralejos,215,7388,1011,0.13684353004872768
2018,1,Centro,1,Palacio,011,22580,6025,0.26682905225863596
2018,1,Centro,2,Embajadores,012,44796,14849,0.33148048932940444
2018,1,Centro,3,Cortes,013,10555,3167,0.30004737091425865
2018,1,Centro,4,Justicia,014,16623,5023,0.30217168982734766
2018,1,Centro,5,Universidad,015,30991,9917,0.31999612790810233
2018,1,Centro,6,Sol,016,7233,2245,0.3103829669570026
2018,2,Arganzuela,1,Imperial,021,22776,4676,0.20530382859149982
2018,2,Arganzuela,2,Acacias,022,36837,7959,0.21605993973450607
2018,2,Arganzuela,3,Chopera,023,19859,4743,0.2388337781358578
2018,2,Arganzuela,4,Legazpi,024,19280,4339,0.22505186721991702
2018,2,Arganzuela,5,Delicias,025,27573,6290,0.22812171327022812
2018,2,Arganzuela,6,Palos de la Frontera,026,25849,6729,0.2603195481449959
2018,2,Arganzuela,7,Atocha,027,1167,202,0.17309340188517566
2018,3,Retiro,1,Pacífico,031,33691,7045,0.20910628951351992
2018,3,Retiro,2,Adelfas,032,18360,3917,0.2133442265795207
2018,3,Retiro,3,Estrella,033,23295,3953,0.16969306718179866
2018,3,Retiro,4,Ibiza,034,21535,4362,0.2025539818899466
2018,3,Retiro,5,Los Jerónimos,035,7103,1337,0.188230325214698
2018,3,Retiro,6,Niño Jesús,036,15316,2527,0.1649908592321755
2018,4,Salamanca,1,Recoletos,041,15816,3479,0.2199671219018715
2018,4,Salamanca,2,Goya,042,29678,6987,0.23542691556034773
2018,4,Salamanca,3,Fuente del Berro,043,20807,4727,0.22718315951362522
2018,4,Salamanca,4,Guindalera,044,41390,9220,0.22275912056052186
2018,4,Salamanca,5,Lista,045,21016,5035,0.23957936810049485
2018,4,Salamanca,6,Castellana,046,16984,4030,0.23728214790390956
2018,5,Chamartin,1,El Viso,051,17180,3574,0.20803259604190918
2018,5,Chamartin,2,Prosperidad,052,36628,8387,0.2289778311674129
2018,5,Chamartin,3,Ciudad Jardín,053,18553,4210,0.22691747965288633
2018,5,Chamartin,4,Hispanoamérica,054,31474,5841,0.18558175001588612
2018,5,Chamartin,5,Nueva España,055,24551,4747,0.1933526129281903
2018,5,Chamartin,6,Castilla,056,16941,3719,0.21952659229089191
2018,6,Tetuan,1,Bellas Vistas,061,28862,7506,0.2600651375511053
