anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,total_hogares,hog_mujer_sola_16_64,hog_hombre_solo_16_64,hog_dos_adultos_sin_menores,hog_dos_adultos_1_menor,hog_dos_adultos_2_menores,hog_dos_adultos_3mas_menores,hog_mujer_adulta_con_menores,hog_hombre_adulto_con_menores
2017,11,Carabanchel,6,Buenavista,116,16674,1337,1553,1950,1658,1985,276,587,106
2017,11,Carabanchel,7,Abrantes,117,10810,688,710,1144,719,736,147,259,50
2017,12,Usera,1,Orcasitas,121,8382,456,473,876,648,746,99,232,35
2017,12,Usera,2,Orcasur,122,4657,318,395,580,299,264,70,132,23
2017,12,Usera,3,San Fermín,123,8100,482,657,910,648,696,138,267,45
2017,12,Usera,4,Almendrales,124,7516,564,586,870,434,311,62,147,21
2017,12,Usera,5,Moscardó,125,9649,721,690,1140,501,336,67,185,30
2017,12,Usera,6,Zofío,126,4921,315,322,578,298,190,27,113,12
2017,12,Usera,7,Pradolongo,127,5893,383,382,654,304,200,49,128,13
2017,13,Puente de Vallecas,1,Entrevías,131,12587,745,846,1373,660,553,152,289,44
2017,13,Puente de Vallecas,2,San Diego,132,15401,1452,1689,2109,934,564,148,404,61
2017,13,Puente de Vallecas,3,Palomeras Bajas,133,14837,1102,1099,1816,941,698,133,365,54
2017,13,Puente de Vallecas,4,Palomeras Sureste,134,15815,941,1141,1939,988,848,148,345,56
2017,13,Puente de Vallecas,5,Portazgo,135,10615,674,688,1240,588,440,103,239,28
2017,13,Puente de Vallecas,6,Numancia,136,17805,1465,1566,2297,933,654,158,400,52
2017,14,Moratalaz,1,Pavones,141,3258,171,163,370,167,192,37,70,7
2017,14,Moratalaz,2,Horcajo,142,2180,166,155,296,197,240,37,74,13
2017,14,Moratalaz,3,Marroquina,143,10818,653,543,1035,489,446,102,189,37
2017,14,Moratalaz,4,Media Legua,144,7136,474,433,758,318,252,55,98,19
2017,14,Moratalaz,5,Fontarrón,145,6793,407,432,651,347,259,49,134,16
2017,14,Moratalaz,6,Vinateros,146,7200,499,458,683,370,270,43,124,22
2017,15,Ciudad Lineal,1,Ventas,151,19770,1685,1497,2207,1018,667,110,352,57
2017,15,Ciudad Lineal,2,Pueblo Nuevo,152,23577,1791,1590,2636,1291,999,160,406,63
2017,15,Ciudad Lineal,3,Quintana,153,10194,1030,826,1236,547,334,48,183,28
2017,15,Ciudad Lineal,4,La Concepción,154,8956,956,723,1029,457,358,77,195,26
2017,15,Ciudad Lineal,5,San Pascual,155,7475,638,503,849,365,349,70,168,24
2017,15,Ciudad Lineal,6,San Juan Bautista,156,4782,397,379,472,270,302,68,133,30
2017,15,Ciudad Lineal,7,Colina,157,2482,250,222,261,147,145,43,70,23
2017,15,Ciudad Lineal,8,Atalaya,158,566,60,39,66,28,32,10,17,5
2017,15,Ciudad Lineal,9,Costillares,159,7857,550,477,716,367,452,223,209,60
2017,16,Hortaleza,1,Palomas,161,2168,115,132,188,148,241,79,72,17
2017,16,Hortaleza,2,Piovera,162,4755,337,355,489,307,379,143,134,34
2017,16,Hortaleza,3,Canillas,163,15896,1070,965,1674,879,807,148,289,59
2017,16,Hortaleza,4,Pinar del Rey,164,20965,1411,1299,2147,1175,957,176,444,74
2017,16,Hortaleza,5,Apóstol Santiago,165,5741,358,393,649,283,271,58,120,21
2017,16,Hortaleza,6,Valdefuentes,166,18140,1643,2123,2447,2134,2627,741,862,273
2017,17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde",171,16016,1005,1170,1899,1070,929,206,434,61
2017,17,Villaverde,2,San Cristóbal,172,5011,220,351,474,299,236,125,122,17
2017,17,Villaverde,3,Butarque,173,6117,427,579,832,788,933,116,260,51
2017,17,Villaverde,4,Los Rosales,174,13010,745,833,1507,928,863,141,302,64
2017,17,Villaverde,5,Ángeles,175,11814,578,631,1042,588,468,92,220,28
2017,18,Villa de Vallecas,1,Casco Histórico de Vallecas,181,31536,3493,4059,4768,3552,3094,537,1266,226
2017,18,Villa de Vallecas,2,Santa Eugenia,182,8828,451,405,1027,489,437,64,159,26
2017,19,Vicalvaro,1,Casco Histórico de Vicálvaro,191,18262,1268,1486,2191,1847,2258,350,629,141
2017,19,Vicalvaro,2,Valdebernardo,192,7230,386,457,764,458,344,66,164,23
2017,20,San Blas-Canillejas,1,Simancas,201,10600,948,990,1389,725,692,117,300,57
2017,20,San Blas-Canillejas,2,Hellín,202,3675,208,243,377,188,128,31,73,13
2017,20,San Blas-Canillejas,3,Amposta,203,3317,212,283,372,184,142,23,88,11
2017,20,San Blas-Canillejas,4,Arcos,204,8908,552,643,1048,631,629,107,215,39
2017,20,San Blas-Canillejas,5,Rosas,205,10932,674,665,1196,1065,1389,176,330,72
2017,20,San Blas-Canillejas,6,Rejas,206,6436,662,859,985,625,651,115,222,64
2017,20,San Blas-Canillejas,7,Canillejas,207,10829,645,700,1157,640,470,77,218,32
2017,20,San Blas-Canillejas,8,El Salvador,208,4265,298,292,428,266,218,37,94,17
2017,21,Barajas,1,Alameda de Osuna,211,7103,369,344,600,479,592,158,187,59
2017,21,Barajas,2,Aeropuerto,212,674,36,78,79,44,39,8,14,6
2017,21,Barajas,3,Casco Histórico de Barajas,213,3046,315,328,503,186,104,19,49,6
2017,21,Barajas,4,Timón,214,4160,388,430,618,442,415,72,146,35
2017,21,Barajas,5,Corralejos,215,2501,193,210,268,271,405,107,113,41
2018,1,Centro,1,Palacio,011,11196,1854,1982,1996,428,232,43,182,30
2018,1,Centro,2,Embajadores,012,21888,3857,4348,4101,758,439,99,326,56
2018,1,Centro,3,Cortes,013,5425,990,1121,1009,177,92,17,67,22
2018,1,Centro,4,Justicia,014,8371,1448,1785,1559,263,157,40,118,33
2018,1,Centro,5,Universidad,015,15803,2908,3134,2933,524,324,58,227,41
2018,1,Centro,6,Sol,016,3728,638,840,679,106,51,10,50,9
2018,2,Arganzuela,1,Imperial,021,9615,1081,911,1400,512,483,88,155,30
2018,2,Arganzuela,2,Acacias,022,15376,1710,1341,1991,783,666,128,236,37
2018,2,Arganzuela,3,Chopera,023,8497,911,760,1189,385,271,30,123,26
2018,2,Arganzuela,4,Legazpi,024,7488,828,900,1296,767,830,137,201,51
2018,2,Arganzuela,5,Delicias,025,11471,1317,1226,1712,793,704,94,223,63
2018,2,Arganzuela,6,Palos de la Frontera,026,11708,1598,1487,1857,487,366,48,161,25
2018,2,Arganzuela,7,Atocha,027,421,43,41,55,36,43,12,13,5
2018,3,Retiro,1,Pacífico,031,14628,1567,1298,1930,627,532,119,238,53
2018,3,Retiro,2,Adelfas,032,7577,806,709,1051,462,424,91,135,37
2018,3,Retiro,3,Estrella,033,8622,414,402,695,312,450,154,107,30
2018,3,Retiro,4,Ibiza,034,9238,1054,811,1097,416,416,104,163,39
2018,3,Retiro,5,Los Jerónimos,035,2810,230,288,273,99,101,32,40,8
2018,3,Retiro,6,Niño Jesús,036,5629,346,307,454,256,271,123,85,24
2018,4,Salamanca,1,Recoletos,041,6674,943,852,810,238,171,70,104,29
2018,4,Salamanca,2,Goya,042,13171,1813,1335,1747,580,413,119,179,39
2018,4,Salamanca,3,Fuente del Berro,043,9169,1166,830,1234,431,323,83,154,27
2018,4,Salamanca,4,Guindalera,044,17513,2038,1643,2191,692,693,196,260,57
2018,4,Salamanca,5,Lista,045,9222,1230,937,1186,337,284,103,152,36
2018,4,Salamanca,6,Castellana,046,6864,898,800,810,187,188,77,67,21
2018,5,Chamartin,1,El Viso,051,6060,508,505,639,216,226,128,67,36
2018,5,Chamartin,2,Prosperidad,052,15842,1807,1464,2049,744,602,147,233,58
2018,5,Chamartin,3,Ciudad Jardín,053,7899,917,769,1019,368,314,90,165,23
2018,5,Chamartin,4,Hispanoamérica,054,12281,1153,987,1290,522,587,254,221,52
2018,5,Chamartin,5,Nueva España,055,9164,950,832,975,369,457,244,166,54
2018,5,Chamartin,6,Castilla,056,6583,610,576,769,254,265,125,87,33
2018,6,Tetuan,1,Bellas Vistas,061,11767,1399,1338,1626,536,360,78,175,37
2018,6,Tetuan,2,Cuatro Caminos,062,14866,1817,1658,1926,595,472,130,195,55
2018,6,Tetuan,3,Castillejos,063,9266,1204,1146,1297,359,232,59,118,32
2018,6,Tetuan,4,Almenara,064,9286,1048,1046,1367,453,304,72,192,32
2018,6,Tetuan,5,Valdeacederas,065,10494,1352,1241,1707,612,392,86,200,36
2018,6,Tetuan,6,Berruguete,066,10143,1312,1134,1500,549,356,67,200,26
2018,7,Chamberi,1,Gaztambide,071,10359,1396,1133,1291,358,290,85,130,27
2018,7,Chamberi,2,Arapiles,072,11137,1584,1191,1495,430,364,93,167,28
2018,7,Chamberi,3,Trafalgar,073,11622,1899,1538,1754,457,375,91,174,40
2018,7,Chamberi,4,Almagro,074,8033,959,917,1031,279,289,98,128,30
2018,7,Chamberi,5,Ríos Rosas,075,12014,1609,1333,1580,510,398,136,204,42
2018,7,Chamberi,6,Vallehermoso,076,8326,932,700,852,275,306,110,106,22
2018,8,Fuencarral-El Pardo,1,El Pardo,081,1317,87,91,134,83,59,17,22,7
2018,8,Fuencarral-El Pardo,2,Fuentelarreina,082,1107,56,47,64,29,51,41,21,7
2018,8,Fuencarral-El Pardo,3,Peñagrande,083,16860,1060,1016,1665,801,901,211,357,84
2018,8,Fuencarral-El Pardo,4,Pilar,084,19413,1493,1340,2231,989,661,113,303,33
2018,8,Fuencarral-El Pardo,5,La Paz,085,12541,559,452,1010,477,573,137,145,28
2018,8,Fuencarral-El Pardo,6,Valverde,086,22497,1768,2064,2663,2077,2778,776,954,267
2018,8,Fuencarral-El Pardo,7,Mirasierra,087,10333,622,673,902,722,937,459,324,96
2018,8,Fuencarral-El Pardo,8,El Goloso,088,5484,465,520,559,682,1105,413,364,126
2018,9,Moncloa-Aravaca,1,Casa de Campo,091,5575,503,557,731,281,222,36,91,12
2018,9,Moncloa-Aravaca,2,Argüelles,092,10373,1231,1209,1362,422,300,103,140,35
2018,9,Moncloa-Aravaca,3,Ciudad Universitaria,093,6103,507,534,613,249,272,99,97,31
2018,9,Moncloa-Aravaca,4,Valdezarza,094,12093,971,845,1299,676,574,84,254,60
2018,9,Moncloa-Aravaca,5,Valdemarín,095,1868,133,150,164,91,183,132,110,30
2018,9,Moncloa-Aravaca,6,El Plantío,096,844,35,51,67,38,62,49,17,10
2018,9,Moncloa-Aravaca,7,Aravaca,097,8363,498,518,707,506,662,339,268,74
2018,10,Latina,1,Los Cármenes,101,6518,468,522,833,364,327,76,150,26
2018,10,Latina,2,Puerta del Angel,102,17385,1776,1733,2305,839,563,126,333,59
2018,10,Latina,3,Lucero,103,13969,972,1007,1447,760,571,95,271,48
2018,10,Latina,4,Aluche,104,26505,1481,1387,2492,1278,975,140,435,69
2018,10,Latina,5,Campamento,105,7340,464,544,774,367,276,91,142,25
2018,10,Latina,6,Cuatro Vientos,106,2180,295,340,292,288,288,46,94,23
2018,10,Latina,7,Águilas,107,20703,1215,1280,2035,1138,929,115,390,65
2018,11,Carabanchel,1,Comillas,111,9470,860,819,1106,497,284,57,180,31
2018,11,Carabanchel,2,Opañel,112,13013,1168,1045,1564,679,455,79,237,34
2018,11,Carabanchel,3,San Isidro,113,15000,1307,1248,1812,844,596,127,313,28
2018,11,Carabanchel,4,Vista Alegre,114,17125,1192,1054,1780,853,573,120,306,43
2018,11,Carabanchel,5,Puerta Bonita,115,12319,863,865,1391,766,608,123,292,30
2018,11,Carabanchel,6,Buenavista,116,16947,1335,1567,1950,1653,1993,270,591,113
2018,11,Carabanchel,7,Abrantes,117,10906,721,710,1181,705,718,135,238,53
2018,12,Usera,1,Orcasitas,121,8429,457,498,874,629,745,106,223,44
2018,12,Usera,2,Orcasur,122,4692,337,386,584,307,247,68,136,23
2018,12,Usera,3,San Fermín,123,8210,510,678,923,655,628,140,275,42
2018,12,Usera,4,Almendrales,124,7619,581,613,870,435,343,66,154,18
2018,12,Usera,5,Moscardó,125,9689,718,720,1149,503,319,67,190,23
2018,12,Usera,6,Zofío,126,4961,319,324,589,281,190,33,109,10
2018,12,Usera,7,Pradolongo,127,5944,400,391,676,320,190,52,115,16
2018,13,Puente de Vallecas,1,Entrevías,131,12621,748,854,1440,664,526,142,271,41
2018,13,Puente de Vallecas,2,San Diego,132,15589,1471,1749,2140,893,582,167,412,51
2018,13,Puente de Vallecas,3,Palomeras Bajas,133,14923,1110,1106,1828,900,650,139,335,43
2018,13,Puente de Vallecas,4,Palomeras Sureste,134,15908,955,1164,1947,986,825,152,370,50
2018,13,Puente de Vallecas,5,Portazgo,135,10702,714,719,1272,575,425,98,256,28
2018,13,Puente de Vallecas,6,Numancia,136,17978,1507,1584,2339,937,606,168,419,39
2018,14,Moratalaz,1,Pavones,141,3268,159,160,382,156,184,33,64,10
2018,14,Moratalaz,2,Horcajo,142,2162,159,162,286,178,231,31,73,11
2018,14,Moratalaz,3,Marroquina,143,10822,631,557,1042,466,429,98,180,32
2018,14,Moratalaz,4,Media Legua,144,7143,491,414,754,303,241,53,115,23
2018,14,Moratalaz,5,Fontarrón,145,6846,422,448,667,337,258,56,143,20
2018,14,Moratalaz,6,Vinateros,146,7209,505,456,691,358,265,37,143,22
2018,15,Ciudad Lineal,1,Ventas,151,19750,1725,1485,2186,1004,676,105,349,61
2018,15,Ciudad Lineal,2,Pueblo Nuevo,152,23750,1742,1653,2686,1213,968,142,414,68
2018,15,Ciudad Lineal,3,Quintana,153,10271,1089,835,1234,530,320,45,197,28
2018,15,Ciudad Lineal,4,La Concepción,154,9035,977,749,1019,475,336,72,187,38
2018,15,Ciudad Lineal,5,San Pascual,155,7508,648,533,861,353,356,74,162,26
2018,15,Ciudad Lineal,6,San Juan Bautista,156,4821,398,379,486,290,298,73,146,27
2018,15,Ciudad Lineal,7,Colina,157,2529,245,206,278,143,146,40,74,30
2018,15,Ciudad Lineal,8,Atalaya,158,560,58,38,57,23,27,15,25,4
2018,15,Ciudad Lineal,9,Costillares,159,7932,529,479,740,370,457,216,201,58
2018,16,Hortaleza,1,Palomas,161,2202,104,139,193,144,242,76,74,20
2018,16,Hortaleza,2,Piovera,162,4847,324,356,489,311,401,140,150,37
2018,16,Hortaleza,3,Canillas,163,15963,1080,958,1685,864,805,141,300,63
2018,16,Hortaleza,4,Pinar del Rey,164,21134,1412,1372,2201,1156,948,175,450,71
2018,16,Hortaleza,5,Apóstol Santiago,165,5763,353,396,681,273,265,63,119,20
2018,16,Hortaleza,6,Valdefuentes,166,18865,1649,2141,2416,2233,2836,756,867,286
2018,17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde",171,16209,1009,1200,1912,1056,911,208,435,66
2018,17,Villaverde,2,San Cristóbal,172,5063,222,355,503,278,227,137,124,17
2018,17,Villaverde,3,Butarque,173,6389,433,589,829,786,954,136,298,54
2018,17,Villaverde,4,Los Rosales,174,13100,733,824,1561,868,817,133,286,60
2018,17,Villaverde,5,Ángeles,175,11835,582,622,1065,576,454,85,217,30
2018,18,Villa de Vallecas,1,Casco Histórico de Vallecas,181,14727,981,1188,1762,1086,994,247,389,69
2018,18,Villa de Vallecas,2,Santa Eugenia,182,8865,455,393,990,498,418,63,155,27
2018,18,Villa de Vallecas,3,Ensanche de Vallecas,183,17857,2539,2985,3114,2516,2262,327,875,169
2018,19,Vicalvaro,1,Casco Histórico de Vicálvaro,191,13068,750,892,1476,820,617,176,324,35
2018,19,Vicalvaro,2,Valdebernardo,192,6086,421,439,758,464,446,56,145,29
2018,19,Vicalvaro,3,Valderrivas,193,6308,467,583,694,929,1436,170,322,81
2018,19,Vicalvaro,4,El Cañaveral,194,404,45,74,102,57,31,7,13,4
2018,20,San Blas-Canillejas,1,Simancas,201,10716,965,997,1424,716,672,123,299,49
2018,20,San Blas-Canillejas,2,Hellín,202,3683,220,250,399,183,124,25,65,11
2018,20,San Blas-Canillejas,3,Amposta,203,3332,213,289,370,192,144,22,97,7
2018,20,San Blas-Canillejas,4,Arcos,204,8965,552,652,1062,632,630,103,204,33
2018,20,San Blas-Canillejas,5,Rosas,205,11012,679,668,1207,995,1219,157,310,65
2018,20,San Blas-Canillejas,6,Rejas,206,6590,647,869,1013,645,659,123,238,58
2018,20,San Blas-Canillejas,7,Canillejas,207,10906,651,723,1181,640,493,78,218,28
2018,20,San Blas-Canillejas,8,El Salvador,208,4258,273,299,418,250,197,33,89,23
2018,21,Barajas,1,Alameda de Osuna,211,7170,365,358,593,470,600,148,182,59
