predictor,"1: Cuartil 1, elitizado en t0 (dinámica de supergentrificación)","2: Cuartil 1, no elitizado en t0 (dinámica de gentrificación)",3: Cuartil 2 (tendencia ligera de gentrificación),4: Cuartil 3+4 (sin dinámica de gentrificación)
densidad,204.17694762418594,281.24642395233315,203.39905116252845,142.94473289778549
distancia_centro_lineal_m,3146.913486440001,3060.7838450116624,5390.909706452307,7188.347728101668
envejecimiento,0.2309076923076923,0.206405,0.19860606060606062,0.19435384615384615
intensidad_inversion_real_distrito,122.07491613241841,169.47037266873983,197.14106006083597,195.3677187607981
n_estaciones_metro,2.769230769230769,3.05,1.8181818181818181,1.2769230769230768
n_locales_activos_total,1087,1317.5,872.6969696969697,721.6
nivel_estudios_superiores_pct,0.5742027273656397,0.4731823152537323,0.3798782061563356,0.24494057975728245
paradas_red_centro,4.6923076923076925,4.7,7,9.984615384615385
pct_arte_recreo_ocio,0.02677991271746344,0.021402080057494027,0.019609202751460594,0.024722553554934138
pct_bares_restaurantes,0.18840440839856537,0.18499885792589105,0.14484719654681694,0.13466011713268092
pct_comercio_menor,0.3298116313203102,0.34145029096541124,0.2960068035950871,0.32308783700252486
pct_extranjeros_ue_ocde,0.08399850424930294,0.08698662660296028,0.05049438920241921,0.03869101485425938
pct_hog_dos_adultos_sin_menores,0.12677905053717556,0.1590906054566121,0.13108906257720648,0.1153508141003519
pct_hog_monoparental,0.01851863531821323,0.01920514738109824,0.024471377540701156,0.02712617170080277
pct_hog_unipersonal_bajo65,0.23516267130755233,0.2684332559450045,0.1901983241056701,0.1436153097907384
pct_inmobiliarias,0.00828738067398114,0.009860507958856516,0.01228873364893044,0.011784972720050923
pct_pob_30_39,0.14373943069477826,0.17074315047752084,0.14266821202665728,0.1266427298056067
pct_poblacion_idh_alto_distrito,0.1378160988196733,0.16083193452968075,0.13784992308411043,0.15078895988484778
pct_turismo_alojamiento,0.009000584934509928,0.013549304289220467,0.008137368215327697,0.004239749296899769
pct_uso_vivienda,0.02087527513266371,0.02042791741832781,0.04314539376329306,0.05072827708262037
poblacion_total_barrio,18434.384615384617,22974.05,26372.727272727272,27352.553846153845
precio_vivienda_declarado_barrio,7378.970769230769,5365.235388888889,4205.143535353535,2953.8466025641023
renta_bruta_media_persona,44563.846153846156,31038.6,28858.424242424244,21801.215384615385
renta_colectiva_barrio,17.574255377545466,16.06974592488343,14.230833073819683,11.507604172759482
renta_neta_media_persona,31679.46153846154,23682.65,21594.484848484848,17308.830769230768
share_gasto_real_cultura,0.16870786069941415,0.07743972398107829,0.03126445926629226,0.03969582680970467
share_gasto_real_mantenimiento_urbano,0.3457983992056096,0.2626375110746257,0.23255245646914954,0.2115036528288406
share_gasto_real_medio_ambiente,0.0353148511637367,0.03858113845744598,0.06011734322086502,0.1117027473473006
share_gasto_real_urbanismo,0.12230195339882047,0.2150197418445526,0.2302958885937115,0.22164949604418108
sin_estacion_propia,0.07692307692307693,0.1,0.24242424242424243,0.3230769230769231
sobreenvejecimiento,0.34283846153846154,0.32596,0.3339757575757576,0.34092
tamano_hogar,2.3983244974852402,2.1994139501219236,2.5268906500369286,2.691940804340776
tasa_entradas_totales,0.12124284045570367,0.13023951828677532,0.12279615942439022,0.11982938768299763
tasa_paro,3.273846153846154,4.7045,5.111515151515151,6.444615384615385
tasa_salidas_totales,0.10051882168386758,0.10442543326365611,0.09472438042305081,0.08813442473150664
tasa_transacciones_vivienda,0.011989601047984131,0.014362802976191885,0.01054735527247052,0.01005119670250009
zonas_verdes_significativas_m2_per_capita_distrito,0.8656642321861949,1.323510921568696,1.717876967254209,2.412755679702167
