distrito,barrio_registrado,seccion,fecha_alta,procedencia,fecha_baja,destino,fecha_modificacion,barrio_antiguo,observaciones
1,15,113,19880701,NA,NA,NA,NA,NA,NA
1,15,114,19880701,NA,NA,NA,NA,NA,NA
1,15,115,19880701,NA,NA,NA,NA,NA,NA
1,15,116,19880701,NA,NA,NA,NA,NA,NA
1,16,117,19880701,NA,NA,NA,NA,NA,NA
1,16,118,19880701,NA,NA,NA,NA,NA,NA
1,16,119,19880701,NA,NA,NA,NA,NA,NA
1,16,120,19880701,NA,NA,NA,NA,NA,NA
1,16,121,19880701,NA,NA,NA,NA,NA,NA
1,16,122,19880701,NA,20031101,121,NA,NA,NA
1,16,123,19880701,NA,NA,NA,NA,NA,NA
1,16,124,19880701,NA,20241015,123,NA,NA,NA
2,21,1,19880701,NA,NA,NA,NA,NA,NA
2,21,2,19880701,NA,NA,NA,NA,NA,NA
2,21,3,19880701,NA,NA,NA,NA,NA,NA
2,21,4,19880701,NA,NA,NA,NA,NA,NA
2,21,5,19880701,NA,NA,NA,NA,NA,NA
2,21,6,19880701,NA,NA,NA,NA,NA,NA
2,21,7,19880701,NA,NA,NA,NA,NA,NA
2,21,8,19880701,NA,NA,NA,NA,NA,NA
2,21,9,19880701,NA,NA,NA,NA,NA,NA
2,21,10,19880701,NA,NA,NA,NA,NA,NA
2,21,11,19880701,NA,NA,NA,NA,NA,NA
2,21,12,19880701,NA,19900101,011,NA,NA,NA
2,21,13,19880701,NA,NA,NA,NA,NA,NA
2,21,14,19880701,NA,NA,NA,NA,NA,NA
2,21,89,19940101,013,NA,NA,NA,NA,NA
2,21,90,19990101,009,NA,NA,NA,NA,NA
2,21,95,20040301,009,NA,NA,NA,NA,NA
2,21,107,20131001,011,NA,NA,NA,NA,NA
2,22,15,19880701,NA,NA,NA,NA,NA,NA
2,22,16,19880701,NA,NA,NA,NA,NA,NA
2,22,17,19880701,NA,NA,NA,NA,NA,NA
2,22,18,19880701,NA,NA,NA,NA,NA,NA
2,22,19,19880701,NA,NA,NA,NA,NA,NA
2,22,20,19880701,NA,NA,NA,NA,NA,NA
2,22,21,19880701,NA,NA,NA,NA,NA,NA
2,22,22,19880701,NA,NA,NA,NA,NA,NA
2,22,23,19880701,NA,NA,NA,NA,NA,NA
2,22,24,19880701,NA,NA,NA,NA,NA,NA
2,22,25,19880701,NA,NA,NA,NA,NA,NA
2,22,26,19880701,NA,NA,NA,NA,NA,NA
2,22,27,19880701,NA,NA,NA,NA,NA,NA
2,22,28,19880701,NA,NA,NA,NA,NA,NA
2,22,29,19880701,NA,NA,NA,NA,NA,NA
2,22,30,19880701,NA,NA,NA,NA,NA,NA
2,22,31,19880701,NA,NA,NA,NA,NA,NA
2,22,85,19880701,NA,NA,NA,NA,NA,NA
2,22,86,19880701,NA,NA,NA,NA,NA,NA
2,22,87,19940101,015,NA,NA,NA,NA,NA
2,22,88,19940101,030,NA,NA,NA,NA,NA
2,22,91,19990101,018,NA,NA,NA,NA,NA
2,22,92,19990101,019,NA,NA,NA,NA,NA
2,22,94,19990101,087,NA,NA,NA,NA,NA
2,22,96,20040301,018,NA,NA,NA,NA,NA
2,22,108,20131001,019,NA,NA,NA,NA,NA
2,22,109,20141001,020,NA,NA,NA,NA,NA
2,23,32,19880701,NA,NA,NA,NA,NA,NA
2,23,33,19880701,NA,NA,NA,NA,NA,NA
2,23,34,19880701,NA,NA,NA,NA,NA,NA
2,23,35,19880701,NA,NA,NA,NA,NA,NA
2,23,36,19880701,NA,NA,NA,NA,NA,NA
2,23,37,19880701,NA,NA,NA,NA,NA,NA
2,23,38,19880701,NA,NA,NA,NA,NA,NA
2,23,39,19880701,NA,NA,NA,NA,NA,NA
2,23,40,19880701,NA,NA,NA,NA,NA,NA
2,23,41,19880701,NA,NA,NA,NA,NA,NA
2,23,42,19880701,NA,NA,NA,NA,NA,NA
2,23,43,19880701,NA,NA,NA,NA,NA,NA
2,23,44,19880701,NA,NA,NA,NA,NA,NA
2,23,45,19880701,NA,NA,NA,NA,NA,NA
2,23,46,19880701,NA,NA,NA,NA,NA,NA
2,23,47,19880701,NA,NA,NA,NA,NA,NA
2,24,48,19880701,NA,NA,NA,NA,NA,NA
2,24,49,19880701,NA,NA,NA,NA,NA,NA
2,24,93,19990101,049,NA,NA,NA,NA,NA
2,24,99,20051201,048,NA,NA,NA,NA,NA
2,24,100,20051201,048,NA,NA,NA,NA,NA
2,24,101,20051201,049,NA,NA,NA,NA,NA
2,24,102,20051201,093,NA,NA,NA,NA,NA
2,24,103,20081101,049,NA,NA,NA,NA,NA
2,24,104,20081101,101,NA,NA,NA,NA,NA
2,24,110,20141001,101,NA,NA,NA,NA,NA
2,24,111,20171101,099,NA,NA,NA,NA,NA
2,24,114,20220601,104,NA,NA,NA,NA,NA
2,25,50,19880701,NA,NA,NA,NA,NA,NA
2,25,51,19880701,NA,NA,NA,NA,NA,NA
2,25,52,19880701,NA,NA,NA,NA,NA,NA
2,25,53,19880701,NA,NA,NA,NA,NA,NA
2,25,54,19880701,NA,NA,NA,NA,NA,NA
2,25,55,19880701,NA,NA,NA,NA,NA,NA
2,25,56,19880701,NA,NA,NA,NA,NA,NA
2,25,57,19880701,NA,NA,NA,NA,NA,NA
2,25,58,19880701,NA,NA,NA,NA,NA,NA
2,25,59,19880701,NA,NA,NA,NA,NA,NA
2,25,60,19880701,NA,NA,NA,NA,NA,NA
2,25,61,19880701,NA,NA,NA,NA,NA,NA
2,25,62,19880701,NA,NA,NA,NA,NA,NA
2,25,63,19880701,NA,NA,NA,NA,NA,NA
2,25,97,20040301,051,NA,NA,NA,NA,NA
2,25,98,20040301,052,NA,NA,NA,NA,NA
