iteracion,ventana_test,modelo,n_test,rmse,mae,r2
1,B,rf,24,0.2252318787755462,0.1306788519835115,0.6302314363044816
1,B,xgboost,24,0.22936104165660368,0.12501937448365147,0.6165492673219596
2,C,rf,24,0.11151863320699233,0.09794829209716413,0.8929307420060371
2,C,xgboost,24,0.10190588008917853,0.08797108016216422,0.9105936418068252
3,D,rf,24,0.1272089551498801,0.09596724322720918,0.7957031303372223
3,D,xgboost,24,0.13967485520358458,0.10506588036183502,0.7537009136287116
